caller,run_concept,N,share
Dave Canales,COUNTER,56,4.66278101582015
Drew Petzing,FULLBACK,5,0.431406384814495
Drew Petzing,PULL LEAD,194,16.7385677308024
Drew Petzing,COUNTER,192,16.5660051768766
Drew Petzing,TRICK,12,1.03537532355479
Drew Petzing,INSIDE ZONE,235,20.2761000862813
Drew Petzing,OUTSIDE ZONE,173,14.9266609145815
Drew Petzing,DRAW,12,1.03537532355479
Drew Petzing,MAN,205,17.6876617773943
Drew Petzing,TRAP,28,2.41587575496117
Drew Petzing,POWER,75,6.47109577221743
Dave Canales,DRAW,13,1.08243130724396
Todd Monken,POWER,204,13.5368281353683
Bobby Slowik,FULLBACK,5,0.576036866359447
Drew Petzing,SNEAK,28,2.41587575496117
Mike McCarthy,SNEAK,18,2.17654171704958
Sean Payton,PULL LEAD,105,8.60655737704918
Sean Payton,TRICK,32,2.62295081967213
Sean Payton,COUNTER,40,3.27868852459016
Sean Payton,FULLBACK,23,1.88524590163934
Sean Payton,SNEAK,50,4.0983606557377
Mike McCarthy,FULLBACK,8,0.967351874244256
Bobby Slowik,SNEAK,12,1.38248847926267
Sean Payton,TRAP,23,1.88524590163934
Sean Payton,DRAW,30,2.45901639344262
Dave Canales,POWER,61,5.07910074937552
Bobby Slowik,DRAW,13,1.49769585253456
Press Taylor,TRICK,24,3.15374507227332
Arthur Smith,FULLBACK,5,0.269251480883145
Arthur Smith,TRAP,31,1.6693591814755
Press Taylor,FULLBACK,3,0.394218134034166
Dave Canales,SNEAK,4,0.333055786844296
Kevin O'Connell,TRAP,7,0.459317585301837
Joe Brady,OUTSIDE ZONE,322,25.3743104806935
Joe Brady,INSIDE ZONE,228,17.9669030732861
Joe Brady,POWER,156,12.2931442080378
Joe Brady,MAN,332,26.1623325453113
Joe Brady,DRAW,17,1.33963750985028
Joe Brady,TRICK,12,0.945626477541371
Joe Brady,PULL LEAD,55,4.33412135539795
Joe Brady,COUNTER,46,3.62490149724192
Joe Brady,SNEAK,83,6.54058313632782
Shane Steichen,FULLBACK,5,0.26525198938992
Zac Taylor,FULLBACK,2,0.140154169586545
Arthur Smith,DRAW,12,0.646203554119548
Zac Robinson,MAN,144,15.6862745098039
Zac Robinson,OUTSIDE ZONE,570,62.0915032679739
Zac Robinson,PULL LEAD,45,4.90196078431373
Zac Robinson,TRICK,9,0.980392156862745
Liam Coen,MAN,179,20.1803833145434
Liam Coen,INSIDE ZONE,184,20.7440811724915
Liam Coen,OUTSIDE ZONE,213,24.0135287485908
Liam Coen,TRAP,30,3.38218714768884
Liam Coen,PULL LEAD,58,6.53889515219842
Liam Coen,POWER,54,6.08793686583991
Liam Coen,COUNTER,81,9.13190529875986
Liam Coen,DRAW,22,2.48027057497182
Liam Coen,TRICK,47,5.29875986471251
Zac Robinson,INSIDE ZONE,119,12.962962962963
Dave Canales,FULLBACK,7,0.582847626977519
Mike McDaniel,DRAW,4,0.251414204902577
Liam Coen,SNEAK,18,2.0293122886133
Zac Robinson,SNEAK,10,1.08932461873638
Joe Brady,TRAP,9,0.709219858156028
Ken Dorsey,FULLBACK,4,0.451977401129944
Zac Robinson,TRAP,6,0.65359477124183
Zac Robinson,FULLBACK,4,0.435729847494553
Liam Coen,FULLBACK,1,0.112739571589628
Joe Brady,FULLBACK,9,0.709219858156028
Zac Robinson,COUNTER,8,0.871459694989107
Zac Robinson,POWER,3,0.326797385620915
Todd Monken,FULLBACK,2,0.13271400132714
