caller,season,n,looks,se,epa
Sean McVay,2025,1226,13.2956497105119,0.44001607535715,0.0886928047878489
Matt LaFleur,2025,1080,13.3991031390135,0.629070755325911,0.0807324262721797
Kevin O'Connell,2025,954,13.2507724596281,0.681165217383067,-0.138850108975158
Kevin Stefanski,2025,512,18.1386577925679,1.12146606615096,-0.227236152521073
Zac Taylor,2025,1057,9.01230500920453,0.499182096483137,-0.0435975448831097
Kevin Patullo,2025,1082,10.0888609036176,0.603620999243212,-0.025751657777099
Brian Callahan,2025,184,5.65725806451613,0.476416675176309,-0.24913753097391
Ben Johnson,2025,1261,16.1476076263263,0.793874963339161,0.0346920300580848
John Morton,2025,486,12.832643728223,0.737801696690016,0.0725401298989977
Arthur Smith,2025,1044,24.2019025604552,1.26663636795827,-0.0485755268562857
Mike McDaniel,2025,949,35.9832013438925,2.332443853583,-0.0586799974872232
Dave Canales,2025,1075,13.0134129846709,0.631530089879157,-0.0812245938822976
Greg Roman,2025,1154,12.5655113797337,0.659688528742114,-0.0580466388001636
Nick Caley,2025,1226,10.0792596171915,0.502455084657487,-0.0545801829368554
Andy Reid,2025,1061,10.9740056984505,0.496230189707621,0.00146663178488653
Josh McDaniels,2025,1303,17.8651039363114,0.831663825255768,0.0293246504657005
Shane Steichen,2025,1018,9.77866142773486,0.602228537476878,0.0465691188536271
Chip Kelly,2025,644,12.3712954110899,0.616997611915778,-0.211782194230046
Drew Petzing,2025,1074,13.8350220898963,0.854792127430351,-0.0415643095093028
Kliff Kingsbury,2025,990,16.390069972212,0.931970712261121,-0.0256990587319994
Brian Schottenheimer,2025,1120,9.222889438361,0.426551986460923,0.061554416539314
Kyle Shanahan,2025,1200,18.6103062913907,0.978677514321997,0.0190271616393401
Tanner Engstrand,2025,1010,8.74830457550004,0.562427648622927,-0.178643121187677
Klint Kubiak,2025,1203,19.5379813538711,1.00463894359912,0.000636322103310372
Zac Robinson,2025,1048,18.6970657396994,0.845601522690384,-0.0445212799525206
Sean Payton,2025,1218,13.388846737481,0.697321292771726,-0.0102154331389591
Mike Kafka,2025,1085,12.5489735820067,0.621341073982166,-0.0221647025184698
Bo Hardegree,2025,820,9.91964786860063,0.490665263137023,-0.180300034370228
Tommy Rees,2025,518,16.0999158350367,0.986432711627018,-0.239072052231526
Dan Campbell,2025,577,13.2032416971238,0.978924802274489,0.0505136100081419
Greg Olson,2025,304,12.3210272873194,1.04843757385163,-0.281557692435423
