measure,caller,seasons,n,actual,expected,resid,epa
catchable_target_pp,Press Taylor,2,1125,74.7555555555556,76.1019886202282,-1.34643306467268,0.0978164551920359
catchable_target_pp,Scott Turner,2,824,73.5436893203884,75.0987829550088,-1.55509363462046,0.0973915400851554
catchable_target_pp,Sean McVay,4,2376,74.3265993265993,76.4028802087612,-2.07628088216187,0.219092762855984
catchable_target_pp,Shane Steichen,4,2143,74.335044330378,76.6100359530411,-2.27499162266313,0.157826573039069
catchable_target_pp,Bobby Slowik,2,1226,73.8988580750408,76.1745790624307,-2.27572098738996,0.190338044591418
catchable_target_pp,Kevin Stefanski,4,1672,73.6244019138756,75.9084865112196,-2.28408459734404,-0.0291472483274825
catchable_target_pp,Zac Robinson,2,1063,73.2831608654751,75.9776379741371,-2.69447710866202,0.14157904792132
catchable_target_pp,Bo Hardegree,2,714,72.6890756302521,75.7431858310513,-3.05411020079915,0.0415984550086618
catchable_target_pp,Nathaniel Hackett,2,862,72.737819025522,75.9545520674048,-3.21673304188281,-0.0446110520403284
deep_shot_20plus_pp,Matt LaFleur,4,2135,15.0351288056206,11.3954127494374,3.63971605618316,0.22936964841337
deep_shot_20plus_pp,Josh McDaniels,3,1410,14.2553191489362,11.51249803284,2.74282111609619,0.230107554221354
deep_shot_20plus_pp,Joe Brady,3,1341,14.0193885160328,11.7239175755291,2.29547094050371,0.295203192365626
deep_shot_20plus_pp,Ken Dorsey,3,1418,13.3286318758815,11.7984596273796,1.53017224850197,0.116938286445173
deep_shot_20plus_pp,Sean Payton,3,1702,13.2784958871915,11.7689363013835,1.50955958580806,0.131718545210669
deep_shot_20plus_pp,Shane Steichen,4,2143,13.2057862809146,11.8524652748387,1.35332100607592,0.157826573039069
deep_shot_20plus_pp,Luke Getsy,3,1140,13.4210526315789,12.0806735870224,1.34037904455653,0.0515916713137638
deep_shot_20plus_pp,Todd Monken,3,1445,13.0795847750865,11.7457455293127,1.33383924577379,0.288866681417379
deep_shot_20plus_pp,Pete Carmichael,2,1075,13.2093023255814,11.9299960974171,1.27930622816433,0.159926289740171
deep_shot_20plus_pp,Klint Kubiak,3,1294,13.2148377125193,11.9699643191434,1.24487339337594,0.148499973803482
deep_shot_20plus_pp,Greg Roman,3,1593,12.6177024482109,11.5422790906756,1.0754233575353,0.127837417550193
deep_shot_20plus_pp,Arthur Smith,4,1941,12.9314786192684,11.8799855321668,1.05149308710164,0.131840100728306
deep_shot_20plus_pp,Sean McVay,4,2376,12.5420875420875,11.595624771913,0.946462770174526,0.219092762855984
deep_shot_20plus_pp,Press Taylor,2,1125,12.7111111111111,11.8102295956574,0.900881515453665,0.0978164551920359
deep_shot_20plus_pp,Nathaniel Hackett,2,862,13.2250580046404,12.3539615488258,0.871096455814577,-0.0446110520403284
deep_shot_20plus_pp,Liam Coen,2,1159,11.6479723899914,11.2067245129866,0.441247877004749,0.241167879783138
deep_shot_20plus_pp,Scott Turner,2,823,12.636695018226,12.3089801170156,0.327714901210412,0.0976576107222573
deep_shot_20plus_pp,Matt Canada,2,883,12.2310305775765,12.1041412976157,0.126889279960754,0.0348715089316372
deep_shot_20plus_pp,Kevin O'Connell,4,2315,11.5766738660907,11.465977752711,0.110696113379725,0.167828670108276
deep_shot_20plus_pp,Dave Canales,3,1641,11.7001828153565,11.7551268113716,-0.0549439960150864,0.127770892941177
deep_shot_20plus_pp,Bobby Slowik,2,1226,11.8270799347471,11.9408403924738,-0.113760457726636,0.190338044591418
deep_shot_20plus_pp,Mike McCarthy,2,1277,11.1198120595145,11.3103138411526,-0.190501781638145,0.149456999885296
deep_shot_20plus_pp,Kellen Moore,4,2291,11.6979484941074,11.9394172559186,-0.2414687618112,0.191118331317412
deep_shot_20plus_pp,Kliff Kingsbury,3,1691,11.4133648728563,11.7720809754007,-0.358716102544434,0.147145920143408
deep_shot_20plus_pp,Kevin Stefanski,4,1671,11.1310592459605,11.7129999456898,-0.581940699729321,-0.0290941142887858
deep_shot_20plus_pp,Zac Robinson,2,1063,11.3828786453434,12.1395021770215,-0.756623531678144,0.14157904792132
deep_shot_20plus_pp,Mike McDaniel,4,2215,10.9255079006772,11.7132023792886,-0.787694478611423,0.199118397126718
