caller,season,n_H,n_L,resid_H,resid_L,act_H,act_L,epa_H,epa_L,n,resid,epa
Kevin Stefanski,2023,276,659,-8.69702336013966,2.60057131984525,30.4347826086956,69.3474962063733,-0.12725283326986,-0.253283339390059,935,11.2975946799849,-0.216080751487198
Kevin Stefanski,2025,125,240,-15.4326225668192,11.5688078229626,29.6,87.5,-0.135773315891624,-0.292672722134739,365,27.0014303897818,-0.238940048763809
Kliff Kingsbury,2022,149,696,-7.33319071415287,2.77433800778684,34.2281879194631,72.1264367816092,-0.142198863745536,-0.0790460491887479,845,10.1075287219397,-0.0901818709271637
Kliff Kingsbury,2024,272,665,-10.5623248628998,1.72680131810949,28.3088235294118,65.8646616541354,0.131783750505693,0.04054881617763,937,12.2891261810093,0.0670332368150187
Kliff Kingsbury,2025,280,426,-17.5563558849639,1.18543544845401,25.7142857142857,69.9530516431925,-0.0533731515785415,0.065728621172583,706,18.7417913334179,0.0184927906197291
Klint Kubiak,2022,100,251,-8.14577787742019,2.27117917808403,33,72.1115537848606,-0.0609810081124305,-0.250483313315656,351,10.4169570555042,-0.196494052573996
Klint Kubiak,2024,284,434,-11.2625182704659,4.49301952727929,30.9859154929578,77.4193548387097,0.0210988171313379,-0.143946751050892,718,15.7555377977452,-0.0786641029119596
Klint Kubiak,2025,449,364,-6.62231236604975,5.62360278115823,32.0712694877506,74.4505494505495,-0.0414970495171828,-0.0106275552003596,813,12.245915147208,-0.0276760213113726
Kyle Shanahan,2022,397,398,-14.3032770266085,10.3218716293124,21.4105793450882,82.1608040201005,-0.0720996343547133,0.0975450573292511,795,24.625148655921,0.0128294062619129
Kyle Shanahan,2023,392,437,-6.80401295813142,13.7324846581954,28.5714285714286,79.6338672768879,0.0279830226761395,0.123689353466034,829,20.5364976163269,0.078433766409775
Kyle Shanahan,2024,270,395,-9.56651628569319,3.93362765825245,30.7407407407408,74.6835443037975,-0.0597187856143271,0.0815099991009206,665,13.5001439439456,0.0241689887654065
Kyle Shanahan,2025,309,456,-5.98356665072896,9.85573754694901,30.7443365695793,78.9473684210526,0.0309588135639052,0.0774271687525406,765,15.839304197678,0.0586575978332094
Liam Coen,2024,203,590,-7.29959737968268,5.82407099526311,28.0788177339902,72.3728813559322,-0.0339566481533678,0.149714756371864,793,13.1236683749458,0.102696729740562
Liam Coen,2025,234,567,-5.89038262692972,6.68609823762213,28.2051282051282,69.4885361552028,-0.0705660714202712,-0.002523800384662,801,12.5764808645518,-0.0224013177658512
Luke Getsy,2022,286,393,-23.4024858375738,-5.69693041970105,25.5244755244755,66.412213740458,-0.121128594300911,-0.118082623118321,679,17.7055554178727,-0.119365609507454
Luke Getsy,2023,303,446,-15.653522042158,0.519561837740534,26.0726072607261,71.0762331838565,-0.169531974203811,-0.0155663557784977,749,16.1730838798986,-0.0778515124979502
Matt Canada,2022,260,507,-17.5109911588236,8.03545244199756,21.1538461538461,75.34516765286,0.0486588436680344,-0.00440588166580894,767,25.5464436008211,0.0135821608202396
Matt Canada,2023,104,312,-9.45513913622842,8.35951645022787,30.7692307692308,75.3205128205128,-0.176041390684147,-0.0824531278310294,416,17.8146555864563,-0.105850193544309
Matt LaFleur,2022,254,468,-1.86581241340913,5.95397192061455,38.9763779527559,74.1452991452992,-0.0617537043519376,-0.0650933460993133,722,7.81978433402368,-0.0639184582823695
Matt LaFleur,2023,316,468,-1.21289172557572,4.35069497101581,36.3924050632912,71.3675213675214,-0.0125036080503437,0.0467342564629179,784,5.56358669659153,0.0228577702560421
Matt LaFleur,2024,234,452,-9.41004664358547,1.13055226599088,30.3418803418803,65.0442477876106,-0.035117576857949,0.0603352182305758,686,10.5405989095764,0.0277755184481927
Matt LaFleur,2025,275,427,-5.96147340603848,3.12249044554016,33.8181818181818,70.0234192037471,0.033668303011324,0.145066633868518,702,9.08396385157864,0.101427686595401
