off_play_caller,presnap_tip,n_look,n_plays_car,guess_xs,H_vs_lg,epa_play,last_season,tip_resid,pct_call,pct_look_raw,pct_look_adj
Randy Fichtner,0.03425786924772434,2632,2644,2.6348818181336444,-0.023045081419491915,-0.015259350419711647,2020,0.007195995215029592,91.25,71.25,78.75
Rob Chudzinski,0.02886420537269929,1682,2151,1.2404919392773044,-0.008891127159981227,-0.04465322391078269,2017,0.0040834970417417855,33.75,58.75,70
Scott Linehan,0.04723243404522659,2682,3555,1.6465448289210247,-0.015575889756930892,0.01886314367330983,2018,0.016897800914019857,57.5,95,97.5
Scott Turner,0.02684489892680663,3220,3110,1.1311682057779222,-0.008130318611635292,-0.07211215590952308,2024,-0.0020114171152225443,30,52.5,48.75
Sean McVay,0.05411617910251409,9146,10052,1.902351528440856,-0.01245244999553005,0.04720696445014674,2025,0.012291525742297393,67.5,96.25,86.25
Sean Payton,0.0571414260187949,7870,8841,1.5786117579263215,-0.013653587147760993,0.04734719374530246,2025,0.016735830864744523,52.5,98.75,96.25
Shane Steichen,0.02305122224146671,5489,5498,2.709690391196706,-0.021894700233134518,0.02927098568756135,2025,-0.012103408946162157,93.75,35,8.75
Shane Waldron,0.03369894830058995,3073,3086,1.7845656666923186,-0.014609696413204122,-0.008163096404732662,2024,0.0049282695974291494,62.5,68.75,75
Steve Sarkisian,0.02156890477294981,1741,1756,0.7061998481860483,-0.0098653161753378,0.04749039475333319,2018,-9.689489202554009e-4,15,31.25,55
Terry Robiskie,0.02203282801259976,1784,1797,-0.4532919629481222,0.0012377962599128425,-0.014398221926143913,2017,-7.60160120104351e-4,1.25,33.75,56.25
Tim Kelly,0.02642652597479533,2325,2335,0.7694631324702228,-0.006263791926356818,-0.023206086699988422,2023,7.38491477302998e-4,16.25,48.75,57.5
Todd Downing,0.02699643040504429,3267,3290,1.2016615613555413,-0.005342781460183295,-0.013451679881499432,2024,-0.0024818539225003006,32.5,53.75,46.25
Todd Haley,0.02641290764493298,2305,3280,0.9362635502770036,-0.0015086816758795218,0.028822688621267124,2018,-0.0030317258259612637,22.5,47.5,42.5
Todd Monken,0.04053702460962583,2974,2985,2.634112292848208,-0.01966861805893701,0.10010564164177374,2025,0.012134188800937461,90,83.75,85
Zac Robinson,0.05984816369757939,1882,1884,2.603605923683577,-0.028840811199859914,0.03546687747421563,2025,0.03653254418728829,87.5,100,100
Zac Taylor,0.03874931341322851,6277,6293,2.4572153654859807,-0.022784365862313985,0.02719219901903752,2025,0.002101760444166406,81.25,81.25,62.5
