coach,spell,team,last,first,seasons,next_first,next_team,coach_after,replacement,moved_on,ended,key
Jim Mora,2,ATL,2006,2004,3,2009,SEA,Jim Mora,Bobby Petrino,1,TRUE,Jim Mora 2004
Jim Mora,3,SEA,2009,2009,1,NA,NA,Jim Mora,Pete Carroll,1,TRUE,Jim Mora 2009
Jim Schwartz,1,DET,2013,2009,5,NA,NA,Jim Schwartz,Jim Caldwell,1,TRUE,Jim Schwartz 2009
Jim Tomsula,1,SF,2015,2015,1,NA,NA,Jim Tomsula,Chip Kelly,1,TRUE,Jim Tomsula 2015
Jim Zorn,1,WAS,2009,2008,2,NA,NA,Jim Zorn,Mike Shanahan,1,TRUE,Jim Zorn 2008
Jimmy Johnson,1,MIA,1999,1999,1,NA,NA,Jimmy Johnson,Dave Wannstedt,1,TRUE,Jimmy Johnson 1999
Joe Brady,1,BUF,2026,2026,1,NA,NA,Joe Brady,NA,NA,FALSE,Joe Brady 2026
Joe Gibbs,1,WAS,2007,2004,4,NA,NA,Joe Gibbs,Jim Zorn,1,TRUE,Joe Gibbs 2004
Joe Judge,1,NYG,2021,2020,2,NA,NA,Joe Judge,Brian Daboll,1,TRUE,Joe Judge 2020
Joe Philbin,1,MIA,2015,2012,4,NA,NA,Joe Philbin,Adam Gase,1,TRUE,Joe Philbin 2012
John Fox,1,CAR,2010,2002,9,2011,DEN,John Fox,Ron Rivera,1,TRUE,John Fox 2002
John Fox,2,DEN,2014,2011,4,2015,CHI,John Fox,Gary Kubiak,1,TRUE,John Fox 2011
John Fox,3,CHI,2017,2015,3,NA,NA,John Fox,Matt Nagy,1,TRUE,John Fox 2015
John Harbaugh,1,BAL,2025,2008,18,2026,NYG,John Harbaugh,Jesse Minter,1,TRUE,John Harbaugh 2008
John Harbaugh,2,NYG,2026,2026,1,NA,NA,John Harbaugh,NA,NA,FALSE,John Harbaugh 2026
Jon Gruden,1,LV,2001,1999,3,2002,TB,Jon Gruden,Bill Callahan,1,TRUE,Jon Gruden 1999
Jon Gruden,2,TB,2008,2002,7,2018,LV,Jon Gruden,Raheem Morris,1,TRUE,Jon Gruden 2002
Jon Gruden,3,LV,2021,2018,4,NA,NA,Jon Gruden,Josh McDaniels,1,TRUE,Jon Gruden 2018
Jonathan Gannon,1,ARI,2025,2023,3,NA,NA,Jonathan Gannon,Mike LaFleur,1,TRUE,Jonathan Gannon 2023
Josh McDaniels,1,DEN,2010,2009,2,2022,LV,Josh McDaniels,John Fox,1,TRUE,Josh McDaniels 2009
Josh McDaniels,2,LV,2023,2022,2,NA,NA,Josh McDaniels,Antonio Pierce,1,TRUE,Josh McDaniels 2022
Kellen Moore,1,NO,2026,2025,2,NA,NA,Kellen Moore,NA,NA,FALSE,Kellen Moore 2025
Ken Whisenhunt,1,ARI,2012,2007,6,2014,TEN,Ken Whisenhunt,Bruce Arians,1,TRUE,Ken Whisenhunt 2007
Ken Whisenhunt,2,TEN,2015,2014,2,NA,NA,Ken Whisenhunt,Mike Mularkey,1,TRUE,Ken Whisenhunt 2014
Kevin O'Connell,1,MIN,2026,2022,5,NA,NA,Kevin O'Connell,NA,NA,FALSE,Kevin O'Connell 2022
Kevin Stefanski,1,CLE,2025,2020,6,2026,ATL,Kevin Stefanski,Todd Monken,1,TRUE,Kevin Stefanski 2020
Kevin Stefanski,2,ATL,2026,2026,1,NA,NA,Kevin Stefanski,NA,NA,FALSE,Kevin Stefanski 2026
Kliff Kingsbury,1,ARI,2022,2019,4,NA,NA,Kliff Kingsbury,Jonathan Gannon,1,TRUE,Kliff Kingsbury 2019
Klint Kubiak,1,LV,2026,2026,1,NA,NA,Klint Kubiak,NA,NA,FALSE,Klint Kubiak 2026
Kyle Shanahan,1,SF,2026,2017,10,NA,NA,Kyle Shanahan,NA,NA,FALSE,Kyle Shanahan 2017
Lane Kiffin,1,LV,2008,2007,2,NA,NA,Lane Kiffin,Tom Cable,1,TRUE,Lane Kiffin 2007
Leslie Frazier,1,MIN,2013,2011,3,NA,NA,Leslie Frazier,Mike Zimmer,1,TRUE,Leslie Frazier 2011
Liam Coen,1,JAX,2026,2025,2,NA,NA,Liam Coen,NA,NA,FALSE,Liam Coen 2025
Lovie Smith,1,CHI,2012,2004,9,2014,TB,Lovie Smith,Marc Trestman,1,TRUE,Lovie Smith 2004
Lovie Smith,2,TB,2015,2014,2,2022,HOU,Lovie Smith,Dirk Koetter,1,TRUE,Lovie Smith 2014
Lovie Smith,3,HOU,2022,2022,1,NA,NA,Lovie Smith,DeMeco Ryans,1,TRUE,Lovie Smith 2022
Marc Trestman,1,CHI,2014,2013,2,NA,NA,Marc Trestman,John Fox,1,TRUE,Marc Trestman 2013
Marty Mornhinweg,1,DET,2002,2001,2,NA,NA,Marty Mornhinweg,Steve Mariucci,1,TRUE,Marty Mornhinweg 2001
Marty Schottenheimer,1,WAS,2001,2001,1,2002,LAC,Marty Schottenheimer,Steve Spurrier,1,TRUE,Marty Schottenheimer 2001
Marty Schottenheimer,2,LAC,2006,2002,5,NA,NA,Marty Schottenheimer,Norv Turner,1,TRUE,Marty Schottenheimer 2002
Marvin Lewis,1,CIN,2018,2003,16,NA,NA,Marvin Lewis,Zac Taylor,1,TRUE,Marvin Lewis 2003
Matt Eberflus,1,CHI,2024,2022,3,NA,NA,Matt Eberflus,Ben Johnson,1,TRUE,Matt Eberflus 2022
