coach,n_games,first_season,last_season,mean_residual,sd_residual
Dave Canales,34,2024,2025,-0.12375412143054913,0.3529913375298233
Mike Nolan,55,2005,2008,-0.1257301911336798,0.37244317277667416
Mike Pettine,32,2014,2015,-0.12672575280274334,0.3977174367043355
Brian Flores,49,2019,2021,-0.12841033984713857,0.44077878183513103
Dan Reeves,61,2000,2003,-0.12846559132392057,0.39865295433019426
Steve Wilks,28,2018,2022,-0.12870852602162539,0.3361351650243353
Hue Jackson,56,2011,2018,-0.1348628679643911,0.32575504009820616
Dave McGinnis,55,2000,2003,-0.13597018082210993,0.42219411434703275
Eric Mangini,80,2006,2010,-0.13601766517596847,0.33656469850366083
Freddie Kitchens,16,2019,2019,-0.14400687865217315,0.40905480140817657
Eric Studesville,4,2010,2010,-0.14422647537151284,0.5087913545800067
Darrell Bevell,9,2020,2021,-0.15194672959738093,0.30814099648948023
Matt Patricia,43,2018,2020,-0.16174031117636567,0.33357777482148826
Antonio Pierce,26,2023,2024,-0.17144439195320418,0.3118994052174191
George Seifert,32,2000,2001,-0.1872559327987656,0.3406412785791154
Lane Kiffin,20,2007,2008,-0.18967174220756244,0.38452761706007016
Matt Rhule,38,2020,2022,-0.19112794311393597,0.4259430843503357
Bobby Petrino,12,2007,2007,-0.19332409374757809,0.2563073287478593
Urban Meyer,13,2021,2021,-0.19337903862440745,0.4064875301759517
Marty Mornhinweg,32,2001,2002,-0.19859168214264217,0.3165221747468069
Brian Callahan,34,2024,2025,-0.21580520877838638,0.4186756797684897
Scott Linehan,36,2006,2008,-0.21661317237275396,0.3813991289490757
Steve Spagnuolo,52,2009,2017,-0.23885917237834603,0.34780060268186336
Bruce Coslet,3,2000,2000,-0.2627418052188653,0.23575182322076832
Chris Palmer,16,2000,2000,-0.2647552877421126,0.3517223272203182
Jeff Saturday,8,2022,2022,-0.2657545868477481,0.4794344473562034
Emmitt Thomas,4,2007,2007,-0.29904503267907245,0.5064541028090986
David Culley,17,2021,2021,-0.3232106301171744,0.46767356517496833
Art Shell,16,2006,2006,-0.3559305443059134,0.22457959507984085
