off_play_caller,H_situ_m,n_look,H_look,presnap_tip
Drew Petzing,0.8470912740843232,2415,0.8281676439940787,0.018923630090244448
Eric Bieniemy,0.8226510231868973,848,0.7855077603099448,0.037143262876952465
Frank Reich,0.8436675132887178,4455,0.8143131683274757,0.029354344961242118
Freddie Kitchens,0.8412047356127298,1379,0.8285579400180705,0.01264679559465931
Gary Kubiak,0.8435637214200383,1725,0.8297951339856305,0.013768587434407786
George Godsey,0.8382769231756608,923,0.824082289291201,0.01419463388445985
Greg Olson,0.8431756940782237,1208,0.817308267383545,0.025867426694678675
Greg Roman,0.8337980116668448,5350,0.7917881732934411,0.04200983837340366
Hue Jackson,0.8301537727452489,1448,0.8131385256000977,0.017015247145151235
Jason Garrett,0.8398305489469379,1252,0.8260019467515706,0.013828602195367301
Jay Gruden,0.803640006748348,2472,0.7685267302744594,0.03511327647388862
Jeff Nixon,0.798093825809424,211,0.7865908765180195,0.011502949291404496
Jeremy Bates,0.8353284613089693,742,0.823733549631634,0.011594911677335284
Jim Bob Cooter,0.8367263518965191,2521,0.8028797753737502,0.0338465765227689
Joe Brady,0.8148421922772918,3948,0.7699887777985476,0.04485341447874425
Joe Lombardi,0.8178236928384303,2006,0.7884660229709598,0.02935766986747046
Joe Philbin,0.8213840878095117,201,0.8030366597390101,0.018347428070501604
John DeFilippo,0.8288145982275655,1406,0.7986380551467417,0.030176543080823848
John Morton,0.839346622511093,1144,0.8262403743223676,0.013106248188725411
Jon Gruden,0.8326304847401116,2729,0.8064315695636821,0.02619891517642947
Josh Grizzard,0.8391972589818638,916,0.8039285903671792,0.035268668614684584
Josh McDaniels,0.842610939910358,7318,0.7878841812868034,0.05472675862355458
Kellen Moore,0.847261607612661,6489,0.8066774685712634,0.04058413904139757
Ken Dorsey,0.8331382682251965,1876,0.8124349364855403,0.020703331739656217
Ken Whisenhunt,0.8226589749870792,2849,0.7892280278949073,0.03343094709217187
Ken Zampese,0.8407236258457104,949,0.8156166485525085,0.025106977293201882
Kevin O'Connell,0.823422807787812,4049,0.7793221577623903,0.04410065002542163
Kevin Patullo,0.851431632935098,903,0.8369164727310905,0.01451516020400756
Kevin Stefanski,0.841446034718828,5287,0.8160419919683733,0.025404042750454603
Kliff Kingsbury,0.8139936497730345,5265,0.7874880855415755,0.026505564231459
Klint Kubiak,0.8538357620757638,2998,0.8318082062195676,0.0220275558561962
Kyle Shanahan,0.8479198681534531,8775,0.8051010561820791,0.04281881197137405
Liam Coen,0.8419244866133585,1816,0.7988460183874698,0.04307846822588868
Luke Getsy,0.8549119062542185,2103,0.834969134696571,0.019942771557647565
