off_play_caller,season,H_vs_lg,primary_qb,H_next,primary_qb_next,qb_changed
Dave Canales,2023,-0.00623188006275821,B.Mayfield,-0.00968371074874597,B.Young,TRUE
Dave Canales,2024,-0.00968371074874597,B.Young,0.00323229953177395,B.Young,FALSE
Dirk Koetter,2015,-0.0157018499268063,J.Winston,-0.0117555279395785,J.Winston,FALSE
Dirk Koetter,2016,-0.0117555279395785,J.Winston,-0.0230498198713445,J.Winston,FALSE
Dirk Koetter,2017,-0.0230498198713445,J.Winston,-0.0160579971285424,J.Winston,FALSE
Dirk Koetter,2018,-0.0160579971285424,J.Winston,-0.0197855358656474,M.Ryan,TRUE
Dirk Koetter,2019,-0.0197855358656474,M.Ryan,-0.0129858510767479,M.Ryan,FALSE
Doug Pederson,2015,-0.00161717726129762,A.Smith,0.00303826701007137,C.Wentz,TRUE
Doug Pederson,2016,0.00303826701007137,C.Wentz,0.00261362132376319,C.Wentz,FALSE
Doug Pederson,2017,0.00261362132376319,C.Wentz,-0.0108158268608102,C.Wentz,FALSE
Doug Pederson,2018,-0.0108158268608102,C.Wentz,-0.00720409831384594,C.Wentz,FALSE
Doug Pederson,2019,-0.00720409831384594,C.Wentz,-0.00255365637709859,C.Wentz,FALSE
Dowell Loggains,2016,-0.0102419930173546,B.Hoyer,-0.00980859374175691,M.Trubisky,TRUE
Drew Petzing,2023,0.0175925352901699,K.Murray,-0.00653265309066331,K.Murray,FALSE
Drew Petzing,2024,-0.00653265309066331,K.Murray,-0.0135998924587138,J.Brissett,TRUE
Frank Reich,2018,-0.0133317247705431,A.Luck,-0.00387481689055946,J.Brissett,TRUE
Frank Reich,2019,-0.00387481689055946,J.Brissett,-0.00910475139111344,P.Rivers,TRUE
Frank Reich,2020,-0.00910475139111344,P.Rivers,-0.0115514724527783,C.Wentz,TRUE
Frank Reich,2021,-0.0115514724527783,C.Wentz,-0.0190328629807104,M.Ryan,TRUE
Frank Reich,2022,-0.0190328629807104,M.Ryan,-0.00730207677707218,B.Young,TRUE
Freddie Kitchens,2018,-0.0117184085436804,B.Mayfield,-0.0149852484072265,B.Mayfield,FALSE
Gary Kubiak,2015,-0.00870630377715409,P.Manning,-0.0179872866208121,T.Siemian,TRUE
Greg Olson,2015,-0.0101490492526355,B.Bortles,-0.0109455205531446,B.Bortles,FALSE
Greg Roman,2019,-0.00839243028335335,L.Jackson,0.00127557448620497,L.Jackson,FALSE
Greg Roman,2020,0.00127557448620497,L.Jackson,-0.0157962420417183,L.Jackson,FALSE
Greg Roman,2021,-0.0157962420417183,L.Jackson,-0.0163558055878137,L.Jackson,FALSE
Greg Roman,2024,-0.0235124331411686,J.Herbert,-0.0306960618738131,J.Herbert,FALSE
Hue Jackson,2015,-0.00592675487328298,A.Dalton,-9.98549097007695e-05,C.Kessler,TRUE
Hue Jackson,2016,-9.98549097007695e-05,C.Kessler,-0.0136521244293431,D.Kizer,TRUE
Jason Garrett,2020,-0.0112796480291412,D.Jones,-0.0176947217435419,D.Jones,FALSE
Jay Gruden,2017,-0.0244609964188456,K.Cousins,-0.0244362544351299,A.Smith,TRUE
Jim Bob Cooter,2015,-0.02541334170451,M.Stafford,-0.0132731438870679,M.Stafford,FALSE
Jim Bob Cooter,2016,-0.0132731438870679,M.Stafford,-0.00872269835701711,M.Stafford,FALSE
Jim Bob Cooter,2017,-0.00872269835701711,M.Stafford,-0.00827787456278284,M.Stafford,FALSE
Joe Brady,2020,-0.0217442802666978,T.Bridgewater,-0.022777797145454,S.Darnold,TRUE
Joe Brady,2023,-0.0339126416767226,J.Allen,-0.0389674830511026,J.Allen,FALSE
Joe Brady,2024,-0.0389674830511026,J.Allen,-0.0304758905750118,J.Allen,FALSE
Joe Lombardi,2021,-0.0256383745660286,J.Herbert,-0.0286027648253898,J.Herbert,FALSE
