caller,seasons,plays,epa,first,last,class,side,rank_in_side,rank_in_class
Nick Rallis,3,3132,-0.0765682988324765,2023,2025,Sophomores (3-4),"Defense: EPA per play allowed, flipped",87,26
Mel Tucker,3,3082,-0.08065436462994545,2012,2014,Sophomores (3-4),"Defense: EPA per play allowed, flipped",88,27
Jim O'Neil,2,2068,-0.08161862108594418,2015,2016,Freshmen (1-2),"Defense: EPA per play allowed, flipped",89,20
Todd Monken,4,3601,0.10129813492283488,2018,2025,Sophomores (3-4),Offense: EPA per play,1,1
Ben Johnson,4,4393,0.0961494299726804,2022,2025,Sophomores (3-4),Offense: EPA per play,2,2
Liam Coen,2,2157,0.0805611493100922,2024,2025,Freshmen (1-2),Offense: EPA per play,3,1
Matt LaFleur,8,8041,0.07926095786305544,2018,2025,Upperclassmen (5+ seasons),Offense: EPA per play,4,1
Andy Reid,14,13405,0.0789852218783353,2012,2025,Upperclassmen (5+ seasons),Offense: EPA per play,5,2
Josh McDaniels,13,13138,0.07183843172863594,2012,2025,Upperclassmen (5+ seasons),Offense: EPA per play,6,3
Joe Brady,5,4305,0.0706045995636948,2020,2025,Upperclassmen (5+ seasons),Offense: EPA per play,7,4
Sean Payton,12,12453,0.06092387538168847,2013,2025,Upperclassmen (5+ seasons),Offense: EPA per play,8,5
Steve Sarkisian,2,1980,0.054817885378814095,2017,2018,Freshmen (1-2),Offense: EPA per play,9,2
Greg Roman,11,10299,0.04933006453203615,2012,2025,Upperclassmen (5+ seasons),Offense: EPA per play,10,6
Kyle Shanahan,14,14356,0.04785668717454808,2012,2025,Upperclassmen (5+ seasons),Offense: EPA per play,11,7
Sean McVay,11,11277,0.04481949363813495,2015,2025,Upperclassmen (5+ seasons),Offense: EPA per play,12,8
Mike McCarthy,9,8382,0.042453313425813065,2012,2024,Upperclassmen (5+ seasons),Offense: EPA per play,13,9
Todd Haley,7,6673,0.036697762550030426,2012,2018,Upperclassmen (5+ seasons),Offense: EPA per play,14,10
Ken Dorsey,3,2304,0.030727187016093234,2022,2024,Sophomores (3-4),Offense: EPA per play,15,3
Ken Whisenhunt,7,5817,0.030592318754643546,2013,2019,Upperclassmen (5+ seasons),Offense: EPA per play,16,11
Shane Steichen,7,6393,0.029459474137011214,2019,2025,Upperclassmen (5+ seasons),Offense: EPA per play,17,12
Kliff Kingsbury,6,6313,0.026952815647534552,2019,2025,Upperclassmen (5+ seasons),Offense: EPA per play,18,13
Scott Linehan,7,7204,0.02371710095547596,2012,2018,Upperclassmen (5+ seasons),Offense: EPA per play,19,14
Darrell Bevell,9,8704,0.023621540233845773,2012,2021,Upperclassmen (5+ seasons),Offense: EPA per play,20,15
Byron Leftwich,5,4862,0.022873086855241948,2018,2022,Upperclassmen (5+ seasons),Offense: EPA per play,21,16
Mike McDaniel,4,4049,0.022228497514113342,2022,2025,Sophomores (3-4),Offense: EPA per play,22,4
Kellen Moore,7,7669,0.02035175793401732,2019,2025,Upperclassmen (5+ seasons),Offense: EPA per play,23,17
Dirk Koetter,9,8816,0.01447206530208671,2012,2020,Upperclassmen (5+ seasons),Offense: EPA per play,24,18
Joe Lombardi,4,3740,0.013857009937092395,2014,2022,Sophomores (3-4),Offense: EPA per play,25,5
Pete Carmichael,3,3159,0.013211564553625718,2012,2023,Sophomores (3-4),Offense: EPA per play,26,6
Brian Schottenheimer,8,7199,0.012200333198847071,2012,2025,Upperclassmen (5+ seasons),Offense: EPA per play,27,19
Jon Gruden,4,3321,0.010019049672860434,2018,2021,Sophomores (3-4),Offense: EPA per play,28,7
Doug Pederson,7,6969,0.008590291716383992,2015,2022,Upperclassmen (5+ seasons),Offense: EPA per play,29,20
Zac Robinson,2,2109,0.006900799685278687,2024,2025,Freshmen (1-2),Offense: EPA per play,30,3
Zac Taylor,8,7594,0.005384452421866878,2015,2025,Upperclassmen (5+ seasons),Offense: EPA per play,31,21
Frank Reich,8,7330,0.003207365602807247,2014,2023,Upperclassmen (5+ seasons),Offense: EPA per play,32,22
Arthur Smith,7,7075,0.002970014940277264,2019,2025,Upperclassmen (5+ seasons),Offense: EPA per play,33,23
Mike Shula,6,5186,0.0014415135960261659,2013,2021,Upperclassmen (5+ seasons),Offense: EPA per play,34,24
Gary Kubiak,6,5791,8.626821834687943e-4,2012,2020,Upperclassmen (5+ seasons),Offense: EPA per play,35,25
Jason Garrett,4,2904,-4.9179480171194714e-5,2012,2021,Sophomores (3-4),Offense: EPA per play,36,8
Shane Waldron,4,3532,-0.0055361627678120265,2021,2024,Sophomores (3-4),Offense: EPA per play,37,9
Jim Bob Cooter,4,3529,-0.0074385872474214704,2015,2018,Sophomores (3-4),Offense: EPA per play,38,10
Drew Petzing,3,3176,-0.008523554457936467,2023,2025,Sophomores (3-4),Offense: EPA per play,39,11
Randy Fichtner,3,2996,-0.0142538407869566,2018,2020,Sophomores (3-4),Offense: EPA per play,40,12
Adam Gase,8,7285,-0.0159888457486319,2013,2020,Upperclassmen (5+ seasons),Offense: EPA per play,41,26
Chan Gailey,4,4040,-0.016322030488201227,2012,2020,Sophomores (3-4),Offense: EPA per play,42,13
Klint Kubiak,4,3594,-0.016346531085423135,2021,2025,Sophomores (3-4),Offense: EPA per play,43,14
Todd Downing,4,3740,-0.018293992239252762,2017,2024,Sophomores (3-4),Offense: EPA per play,44,15
Bill Lazor,6,4686,-0.022121533117762507,2014,2021,Upperclassmen (5+ seasons),Offense: EPA per play,45,27
Bill Musgrave,6,5434,-0.02213149173782399,2012,2018,Upperclassmen (5+ seasons),Offense: EPA per play,46,28
Rob Chudzinski,4,3481,-0.02360564037953247,2012,2017,Sophomores (3-4),Offense: EPA per play,47,16
Bruce Arians,6,6218,-0.024077433446164337,2012,2017,Upperclassmen (5+ seasons),Offense: EPA per play,48,29
Brian Daboll,6,6192,-0.025631449295406863,2012,2024,Upperclassmen (5+ seasons),Offense: EPA per play,49,30
Marc Trestman,4,3425,-0.026540328417375206,2013,2016,Sophomores (3-4),Offense: EPA per play,50,17
Pat Shurmur,8,6640,-0.028095806524496274,2012,2021,Upperclassmen (5+ seasons),Offense: EPA per play,51,31
