sim,shift_no_trait,shift_fitted_trait,persistence_r3_no_trait,persistence_r3_fitted_trait,persistence_r5_no_trait,persistence_r5_fitted_trait,shift_no_trait_vol_censored,shift_fitted_trait_vol_censored,shift_no_trait_wins_rule
161,2.94924478999099,3.04452599433696,0.0919474668909038,0.25073253443584,-0.0115841854201025,0.118691834427058,2.94568276113266,2.6799144778303,1.97961601135072
162,1.57737814851969,1.74238686296057,-0.0622627692636385,0.317764713357249,0.144421376193436,0.470903062422974,2.63290650542605,2.41202601707059,2.37836150821485
163,3.0707892101447,2.02358942087611,0.0949723725169158,0.315474942732188,0.525204251308168,0.251354463346434,1.61062367856129,2.40819372806372,3.34546092521168
164,2.53217318974457,2.87361488161963,0.316533846993472,0.227288300036818,0.127048330773884,0.254576486788665,2.36055358335551,1.61541353254012,1.9094990614484
165,2.76765069942056,2.59785678950224,0.043612642436454,0.268036271308142,0.0598043821912689,0.281891063790161,2.06356787789277,2.7275229516956,1.98033267749783
166,2.42560522487904,1.19859308982461,0.00776323474180893,0.0342746319673377,-0.228084654620238,0.111598848068307,1.98589323275597,3.10887762118527,2.7392288406264
167,3.09377130512256,1.56602477856037,0.040667453341648,0.181753832743088,0.0925102495834886,0.297124881124512,3.51351952464135,2.80834095943214,2.08949686882318
168,2.38663098963926,2.95722651582843,-0.0389515096346661,0.293149444103994,0.0518269756116397,0.287301444217064,2.54083483847799,3.28471179825992,1.93595154461566
169,2.95166491406858,2.22261229738533,0.108186370842612,0.176558757129969,0.317665627160572,0.525200210623603,2.81316748379357,2.46007088491888,2.06325242083383
170,2.52858641129859,2.07131039393355,0.274819123433733,0.202397634979343,0.216513771796432,0.228766262033578,1.64641379967013,2.21777968758697,2.1168364807977
171,2.86425968589852,1.87338662409488,0.0171688766990212,0.349095532947814,-0.0326522101379585,0.53043109788748,1.53765433273169,2.73914478856393,2.16221996431638
172,2.76021350801467,2.68722718635383,0.188490260232324,0.269791913348992,0.413492615959199,0.382562334337098,2.56837794014169,2.36597956730813,2.5264888769087
173,1.28475065629957,2.10911096407246,0.0243553736867981,-0.00412488322698178,0.168062168583194,0.530139251543663,2.5601644124062,3.06122701074614,2.45657389611138
174,3.06386178300974,2.41312635766772,0.387566703673098,0.18048376402098,0.400499473410585,0.127893903489591,1.36421940674681,2.06894032817194,2.26961901627595
175,2.5502008800891,2.72187507343471,-0.192173855208023,0.397258293076384,-0.0556587841475941,0.3357359906873,2.25703235824597,3.33949070035787,1.65650982948464
176,2.44978793176953,2.74285533826396,0.365486886164093,0.478609619951036,0.497085727148385,0.635218781368756,2.99744167996616,2.83700903495451,2.78182855718947
177,1.99078506341657,2.31254881992403,0.0652403728041969,0.30029177063975,-0.0535216695704736,0.543208487780583,2.81841229072096,1.87456980240241,2.64598641827962
178,3.36279500261885,1.55676611078345,0.243899478828905,0.155003263028707,0.31228261067734,0.335291769808267,2.34535988174513,1.88165703621579,2.87930315262164
179,2.26074784234117,3.12574574910559,0.321687928060377,0.219086068203055,0.276174458908151,0.224532515975676,2.22209404638402,2.79456796522969,1.97188858007569
