off_play_caller,season,H_situ_m,n_look,H_look,presnap_tip
Ben McAdoo,2016,0.8379353980652656,975,0.8152511441860842,0.022684253879181382
Ben McAdoo,2017,0.8306190352336217,271,0.8196764573044402,0.010942577929181518
Ben McAdoo,2022,0.8696224082563739,792,0.8648380249047793,0.00478438335159459
Bill Lazor,2017,0.8382110726823957,649,0.8297982148995249,0.00841285778287082
Bill Lazor,2018,0.8294613042482009,739,0.8162723323885124,0.01318897185968848
Bill Lazor,2020,0.8753838499188364,352,0.8643142666953554,0.011069583223481061
Bill Lazor,2021,0.8380877388413016,611,0.8195351122505594,0.018552626590742194
Bill Musgrave,2016,0.8413042106027695,960,0.8287914345489369,0.012512776053832608
Bill Musgrave,2017,0.8152978873728751,292,0.8064837574509189,0.008814129921956182
Bill Musgrave,2018,0.8452709792140372,849,0.8313567530371448,0.013914226176892308
Bill O'Brien,2016,0.8514217534506816,970,0.8414134493267621,0.01000830412391951
Bill O'Brien,2017,0.827764562343112,803,0.8134438807640553,0.014320681579056749
Bill O'Brien,2018,0.831234153908288,867,0.8135359260215199,0.017698227886768114
Bill O'Brien,2019,0.8443709617252007,976,0.8258133553127732,0.01855760641242743
Bill O'Brien,2023,0.8299961062316433,868,0.8125478087925383,0.01744829743910503
Bo Hardegree,2023,0.8480896252259137,416,0.8386659630282772,0.009423662197636462
Bo Hardegree,2025,0.8450058777036658,552,0.8283463670255993,0.01665951067806648
Bobby Slowik,2023,0.8360175253529113,963,0.810691764369276,0.02532576098363526
Bobby Slowik,2024,0.8305459397017807,1029,0.8023630627136435,0.02818287698813715
Brian Callahan,2024,0.8298964466594928,798,0.8132746297089303,0.01662181695056253
Brian Callahan,2025,0.8048575054499002,133,0.7931877037623335,0.011669801687566705
Brian Daboll,2018,0.8388605452919106,623,0.8290661533006752,0.00979439199123533
Brian Daboll,2019,0.8148179327894954,936,0.7930679925179562,0.021749940271539203
Brian Daboll,2020,0.836758984719336,914,0.8054024685441312,0.03135651617520474
Brian Daboll,2021,0.825810961500277,809,0.8005914714957868,0.025219490004490197
Brian Daboll,2024,0.841162365665387,818,0.8191386088966318,0.02202375676875523
Brian Johnson,2023,0.8538845947650485,951,0.8394430611593897,0.014441533605658807
Brian Schottenheimer,2018,0.8396637123858618,882,0.8349752334981367,0.004688478887725056
Brian Schottenheimer,2019,0.841964878628463,945,0.8277576910723243,0.0142071875561387
Brian Schottenheimer,2020,0.8377990282835449,885,0.8194497443814586,0.018349283902086344
Brian Schottenheimer,2021,0.8652428426433709,123,0.8548958090454899,0.010347033597881028
Brian Schottenheimer,2025,0.8414244190562155,937,0.8190263529778815,0.022398066078333945
