coach,season,n_games,mean_residual
Doug Pederson,2018,16,0.09525813971351899
Doug Pederson,2019,16,0.16359551833907884
Doug Pederson,2020,16,-0.14800280478098574
Doug Pederson,2022,17,0.07879632576527597
Doug Pederson,2023,17,-0.14535026644278198
Doug Pederson,2024,17,-0.15750952988495234
Emmitt Thomas,2007,4,-0.29904503267907245
Eric Mangini,2006,16,-0.05460790328655666
Eric Mangini,2007,16,-0.25200993447631675
Eric Mangini,2008,16,-0.002204566307592297
Eric Mangini,2009,16,-0.22912476438753165
Eric Mangini,2010,16,-0.142141157421845
Eric Studesville,2010,4,-0.14422647537151284
Frank Reich,2018,16,0.1577082903609095
Frank Reich,2019,16,-0.05702785870420837
Frank Reich,2020,16,0.08946227796839278
Frank Reich,2021,17,0.04214567008701104
Frank Reich,2022,9,0.11784153341740058
Frank Reich,2023,11,-0.16541710696389877
Freddie Kitchens,2019,16,-0.14400687865217315
Gary Kubiak,2006,16,-0.033857330515805494
Gary Kubiak,2007,16,0.05677862929507631
Gary Kubiak,2008,16,-0.05342400924314623
Gary Kubiak,2009,16,0.0732690802694748
Gary Kubiak,2010,16,0.0771253376976792
Gary Kubiak,2011,16,0.04859813837659625
Gary Kubiak,2012,16,0.11671979459164117
Gary Kubiak,2013,13,-0.19529173219639132
Gary Kubiak,2015,16,0.07292994994793699
Gary Kubiak,2016,16,0.164043807043054
Gary Moeller,2000,9,0.1882096414886999
George Seifert,2000,16,-0.1258029590234934
George Seifert,2001,16,-0.24870890657403782
Giff Smith,2023,3,0.11510662861745562
Greg Schiano,2012,16,0.0905720954015873
Greg Schiano,2013,16,-0.19603738003799814
Gregg Williams,2001,16,-0.05970112996036185
Gregg Williams,2002,16,0.05803073740632435
Gregg Williams,2003,16,0.046377153739226844
Gregg Williams,2018,8,0.10423828292031932
Gunther Cunningham,2000,15,0.07966923950876137
Gus Bradley,2013,16,-0.1958106257214114
Gus Bradley,2014,16,-0.2009967067781726
Gus Bradley,2015,16,0.0017631429753028512
Gus Bradley,2016,14,-0.009856501421165842
Herm Edwards,2001,16,0.04570518543568065
Herm Edwards,2002,16,-0.026021860563269647
Herm Edwards,2003,16,0.10783712514373184
Herm Edwards,2004,16,0.1471883669272436
Herm Edwards,2005,16,-0.028706907841788167
Herm Edwards,2006,16,0.08724520782789082
Herm Edwards,2007,16,-0.10805313933161131
Herm Edwards,2008,16,-0.23193949892021173
Hue Jackson,2011,16,-0.11021484471663887
Hue Jackson,2016,16,-0.29444092485031265
Hue Jackson,2017,16,-0.09201430392079772
Hue Jackson,2018,8,0.04930007122476089
Jack Del Rio,2003,16,0.01323819948566559
