def_caller,rush_type,n_contested,uncontested_rate,uncontested_era_adj,uncontested_lo,uncontested_hi,uncontested_shrunk,rank_open,n_comp,comp_actual,comp_expected,comp_oe,comp_lo,comp_hi,rank_comp
Patrick Graham,regular,1584,89.52020202020202,2.5876013645996494,1.0792050420876353,4.095997687111663,1.9087638333259929,3,1584,70.95959595959597,69.1073970380004,1.8521989215955617,-0.2509068852559988,3.955304728447122,11
Raheem Morris,blitz,309,91.58576051779936,5.518546856191961,2.42327895507879,8.613814757305132,3.148596311978778,2,309,66.99029126213591,69.92129857582569,-2.9310073136897574,-7.90160059274365,2.0395859653641355,24
Raheem Morris,regular,743,86.40646029609691,-0.2649985316953405,-2.7293409449127055,2.1993438815220245,-0.13594832836710613,23,743,67.56393001345896,67.11780495069229,0.44612506276666025,-2.7236527890522226,3.615902914585543,21
Ryan Nielsen,blitz,194,80.9278350515464,-4.8230697054153495,-10.351529616369792,0.7053902055390919,-1.4180360376739831,37,194,65.97938144329896,65.48811384697551,0.4912675963234631,-5.689638892955846,6.672174085602772,6
Ryan Nielsen,regular,871,85.1894374282434,-2.039385888272676,-4.398373426394475,0.31960164984912254,-1.0906802749294653,35,871,67.50861079219288,67.55580258321542,-0.04719179102256742,-2.9582611494071296,2.863877567361995,24
Sean McDermott,blitz,288,84.375,-1.6087374880581677,-5.802238318957096,2.584763342840761,-0.675488760069824,29,288,64.23611111111111,65.30736263634431,-1.0712515252331876,-6.502317447213727,4.3598143967473515,15
Sean McDermott,regular,1101,88.28337874659401,1.1437690020676285,-0.7560099883191815,3.043547992454439,0.7312434415785298,8,1101,70.02724795640329,69.31781156105308,0.7094363953501932,-1.8322150774344026,3.251087868134789,19
Shane Bowen,blitz,454,84.80176211453744,-1.0522919884627981,-4.354673180509432,2.250089203583836,-0.5667229315307715,25,454,68.5022026431718,68.07116837556667,0.4310342676051424,-3.7469995220564427,4.609068057266727,8
Shane Bowen,regular,1611,87.46120422098076,0.5969362590509348,-1.02019004735869,2.2140625654605595,0.4237310663557927,17,1611,70.26691495965241,67.89943364366178,2.367481315990623,0.25669254022516785,4.4782700917560785,7
Steve Spagnuolo,blitz,654,88.37920489296636,2.4433101939970925,-0.012869656231124793,4.89949004422531,1.6576448089722995,4,654,63.76146788990826,67.03155580737176,-3.2700879174634814,-6.803106024240195,0.2629301893132321,27
Steve Spagnuolo,regular,1431,86.44304682040531,-0.4809170869278603,-2.2546259472809407,1.2927917734252203,-0.3223837669612653,24,1431,69.81132075471697,68.63508062459304,1.176240130123938,-1.0157794238834146,3.3682596841312904,15
Steve Wilks,blitz,240,84.58333333333333,-1.861639475401489,-6.430291593469348,2.7070126426663697,-0.7052086866849864,31,240,62.5,66.61747778455417,-4.117477784554167,-9.929431973391896,1.6944764042835638,29
Steve Wilks,regular,694,87.7521613832853,0.8199107870112385,-1.6192193647613173,3.2590409387837944,0.424838515059294,12,694,69.74063400576368,69.21356255966924,0.5270714460944492,-2.630234258611408,3.6843771508003065,20
Teryl Austin,blitz,626,85.14376996805112,-0.8352598283200763,-3.6213787537263795,1.950859097086227,-0.518842320027113,24,626,59.42492012779551,65.85632572396877,-6.431405596173223,-10.093519607517134,-2.769291584829311,35
Teryl Austin,regular,1556,88.23907455012854,1.2887317461487129,-0.31194079865175417,2.88940429094918,0.9202030090946718,7,1556,68.18766066838047,68.30181457810967,-0.11415390972920784,-2.3499393048153316,2.121631485356916,26
Todd Bowles,blitz,779,88.06161745827984,2.1165871838129675,-0.1603624125773475,4.3935367802032825,1.5039873944087483,6,779,64.4415917843389,67.41433736792884,-2.972745583589943,-6.105139299463016,0.15964813228313046,25
Todd Bowles,regular,1414,87.12871287128714,0.197303867247129,-1.5482088008836388,1.9428165353778968,0.13365269081004524,19,1414,71.99434229137198,67.8774815374166,4.116860753955417,1.9578872131879432,6.275834294722891,1
Vance Joseph,blitz,755,84.50331125827815,-1.4178012839325618,-3.9991038560149987,1.1635012881498752,-0.9306307299866747,26,755,68.34437086092717,69.90884860619802,-1.5644777452708942,-4.726069482619316,1.5971139920775277,19
Vance Joseph,regular,1433,85.69434752267969,-1.2434003122201318,-3.0562546066096425,0.5694539821693789,-0.8214318099902306,29,1433,67.20167480809488,68.21404309515674,-1.0123682870619208,-3.262931431426327,1.2381948573024855,30
Vic Fangio,blitz,298,85.57046979865771,-0.4179368344651522,-4.407597814565351,3.5717241456350473,-0.18570508466261237,22,298,63.75838926174497,66.52568205190985,-2.7672927901648867,-7.8179813875449335,2.28339580721516,23
Vic Fangio,regular,1205,84.5643153526971,-2.5556377716370378,-4.595585621652276,-0.5156899216217994,-1.5484393344252212,37,1205,65.47717842323645,66.96135249375308,-1.4841740705165896,-3.9937788480820124,1.025430707048833,33
Zach Orr,blitz,242,86.77685950413223,0.8482785702574347,-3.41965507700497,5.1162122175198395,0.34893206657743076,12,242,63.63636363636363,65.3897048766948,-1.753341240331157,-7.602148988411502,4.0954665077491885,20
Zach Orr,regular,888,83.78378378378379,-3.4418237990706473,-5.866224140551812,-1.0174234575894827,-1.7937961796721609,38,888,68.58108108108108,66.24416372831071,2.3369173527703615,-0.4971687416507127,5.171003447191436,8
