name,side,n,guess_xs,H_vs_lg,epa,epa_type,lean_abs,structure_pctile,exploit_pctile,quadrant,marquee,seq_guess_pp,guessability,range_sd
Jack Del Rio,defense,1072,,,0.00505272618237772,epa_allowed,,0.974358974358974,0.435897435897436,"clear identity, hard to exploit (Michael's ideal)",FALSE,,0.19863344688148,0.0110646426954917
Jeff Hafley,defense,1337,,,-0.00758184581836888,epa_allowed,,0.0512820512820513,0.974358974358974,"weak identity, easy to exploit",FALSE,,0.395690199442448,0.0620118917932266
Jeff Ulbrich,defense,2458,,,-0.0674693192129135,epa_allowed,,0.282051282051282,0.58974358974359,"weak identity, easy to exploit",FALSE,,0.252920454251687,0.042455428842879
Jesse Minter,defense,1319,,,-0.0622500068535626,epa_allowed,,0.461538461538462,0.846153846153846,"weak identity, easy to exploit",FALSE,,0.306301890856857,0.0385483835633974
Jim Schwartz,defense,1785,,,-0.126042600709642,epa_allowed,,0.897435897435897,0.333333333333333,"clear identity, hard to exploit (Michael's ideal)",FALSE,,0.179278071255293,0.0191726759596206
Joe Barry,defense,1263,,,0.00931722781494089,epa_allowed,,0.102564102564103,0.153846153846154,"weak identity, hard to exploit",FALSE,,0.144948981234679,0.0545840130428914
Joe Whitt Jr.,defense,1017,,,0.107646686064341,epa_allowed,,0.487179487179487,0.256410256410256,"weak identity, hard to exploit",FALSE,,0.165415527014395,0.0376684739828992
Joe Woods,defense,892,,,0.0031487559690871,epa_allowed,,0.58974358974359,0.769230769230769,"clear identity, easy to exploit",FALSE,,0.293097163327748,0.0333423507051662
Lou Anarumo,defense,2734,,,0.00328603740263766,epa_allowed,,0.846153846153846,0.641025641025641,"clear identity, easy to exploit",FALSE,,0.260112246032058,0.0205360840525004
Matt Eberflus,defense,1649,,,0.0399569208915032,epa_allowed,,0.692307692307692,0.487179487179487,"clear identity, hard to exploit (Michael's ideal)",FALSE,,0.235598701228051,0.0285669064908705
Mike Caldwell,defense,1452,,,-0.0217512354271399,epa_allowed,,0.512820512820513,0.282051282051282,"clear identity, hard to exploit (Michael's ideal)",FALSE,,0.169590074524818,0.0375074008571085
Mike Macdonald,defense,2982,,,-0.0983064688506675,epa_allowed,,0.769230769230769,0.717948717948718,"clear identity, easy to exploit",TRUE,,0.281420512969564,0.0243637400167327
Nick Rallis,defense,1818,,,0.118491023272784,epa_allowed,,0.41025641025641,0.692307692307692,"weak identity, easy to exploit",FALSE,,0.271847212296525,0.0388647700639013
Patrick Graham,defense,2513,,,0.0575639415646125,epa_allowed,,1,0.512820512820513,"clear identity, easy to exploit",FALSE,,0.240549074443063,0.00792963833970953
Raheem Morris,defense,1330,,,0.0427065213161864,epa_allowed,,0.923076923076923,0.230769230769231,"clear identity, hard to exploit (Michael's ideal)",FALSE,,0.162837433051791,0.0178223882641826
Ryan Nielsen,defense,1279,,,0.107745088975654,epa_allowed,,0.82051282051282,0.948717948717949,"clear identity, easy to exploit",FALSE,,0.363846087403423,0.0214643597814549
Sean McDermott,defense,2063,,,-0.0496725091057,epa_allowed,,0.564102564102564,0.794871794871795,"clear identity, easy to exploit",FALSE,,0.294677295114144,0.0345608335238068
Shane Bowen,defense,2434,,,0.0632221603415212,epa_allowed,,0.948717948717949,0.564102564102564,"clear identity, easy to exploit",FALSE,,0.249385714968303,0.0155624869225149
Steve Spagnuolo,defense,3023,,,-0.0345638755897169,epa_allowed,,0.641025641025641,0.17948717948718,"clear identity, hard to exploit (Michael's ideal)",FALSE,,0.148076948976877,0.0304325607885179
Steve Wilks,defense,1305,,,-0.00173583613455267,epa_allowed,,0.333333333333333,0.743589743589744,"weak identity, easy to exploit",FALSE,,0.290580579290986,0.0417051865805601
Teryl Austin,defense,2691,,,-0.00451130946023187,epa_allowed,,0.17948717948718,0.307692307692308,"weak identity, hard to exploit",FALSE,,0.173313142171353,0.0492155760948641
Todd Bowles,defense,2846,,,0.0403046991016869,epa_allowed,,0.128205128205128,0.0769230769230769,"weak identity, hard to exploit",FALSE,,0.0931304239231865,0.0507859513227235
Vance Joseph,defense,2803,,,-0.0397525429405017,epa_allowed,,0.435897435897436,0.102564102564103,"weak identity, hard to exploit",FALSE,,0.123466512610348,0.0386705805405102
Vic Fangio,defense,2170,,,-0.0846956658318707,epa_allowed,,0.615384615384615,0.923076923076923,"clear identity, easy to exploit",FALSE,,0.35484134333842,0.0318260104600667
Zach Orr,defense,1460,,,0.0101133571044631,epa_allowed,,0.230769230769231,0.82051282051282,"weak identity, easy to exploit",FALSE,,0.303300571191849,0.0447084845029523
