coach,season,games,actual_wins,expected_wins,wins_above_expectation,rate_per17,eligible
Doug Marrone,2016,2,1,0.6719843404404515,0.3280156595595485,2.7881331062561623,FALSE
Doug Marrone,2017,16,10,9.329435717804255,0.6705642821957442,0.7124745498329782,TRUE
Doug Marrone,2018,16,5,8.015696391749609,-3.0156963917496094,-3.20417741623396,TRUE
Doug Marrone,2019,16,6,6.751679963831677,-0.7516799638316765,-0.7986599615711563,TRUE
Doug Marrone,2020,16,1,4.204507179989252,-3.2045071799892515,-3.4047888787385796,TRUE
Doug Pederson,2016,16,7,7.775715705866203,-0.7757157058662021,-0.8241979374828398,TRUE
Doug Pederson,2017,16,13,10.102562154623213,2.897437845376789,3.078527710712838,TRUE
Doug Pederson,2018,16,9,9.051588656275982,-0.05158865627598186,-0.054812947293230725,TRUE
Doug Pederson,2019,16,9,9.389560947129395,-0.3895609471293956,-0.41390850632498283,TRUE
Doug Pederson,2020,16,4.5,7.10749462215576,-2.6074946221557598,-2.770463036040495,TRUE
Doug Pederson,2022,17,9,7.631101468186968,1.3688985318130305,1.3688985318130307,TRUE
Doug Pederson,2023,17,9,9.380570679380838,-0.3805706793808382,-0.3805706793808382,TRUE
Doug Pederson,2024,17,4,6.970006772874676,-2.9700067728746764,-2.9700067728746764,TRUE
Emmitt Thomas,2007,4,1,1.0876387167220753,-0.08763871672207535,-0.37246454606882023,FALSE
Eric Mangini,2006,16,10,7.070381094394364,2.929618905605636,3.112720087205988,TRUE
Eric Mangini,2007,16,4,5.821510336885833,-1.8215103368858327,-1.9353547329411973,TRUE
Eric Mangini,2008,16,9,9.440819255155484,-0.44081925515548315,-0.4683704586027008,TRUE
Eric Mangini,2009,16,5,4.587492885776691,0.412507114223309,0.4382888088622658,TRUE
Eric Mangini,2010,16,5,6.0891631089645575,-1.0891631089645575,-1.1572358032748422,TRUE
Eric Studesville,2010,4,1,1.6099172815918443,-0.6099172815918443,-2.5921484467653384,FALSE
Frank Reich,2018,16,10,8.502589091979857,1.4974109080201439,1.5909990897714028,TRUE
Frank Reich,2019,16,7,8.127862203820252,-1.1278622038202517,-1.1983535915590173,TRUE
Frank Reich,2020,16,11,10.305681951693622,0.694318048306379,0.7377129263255277,TRUE
Frank Reich,2021,17,9,9.163999704827248,-0.16399970482724946,-0.16399970482724946,TRUE
Frank Reich,2022,9,3.5,4.601340097805657,-1.1013400978056578,-2.0803090736329093,TRUE
Frank Reich,2023,11,1,3.54896558321543,-2.54896558321543,-3.939310446787483,TRUE
Freddie Kitchens,2019,16,6,8.421743114010384,-2.4217431140103844,-2.5731020586360334,TRUE
Gary Kubiak,2006,16,6,5.222081416685203,0.7779185833147984,0.8265384947719733,TRUE
Gary Kubiak,2007,16,8,6.977931125863543,1.0220688741364554,1.0859481787699838,TRUE
Gary Kubiak,2008,16,8,7.555720372860477,0.4442796271395225,0.47204710383574267,TRUE
Gary Kubiak,2009,16,9,8.935476286449756,0.06452371355024378,0.068556445647134,TRUE
Gary Kubiak,2010,16,6,7.892453143963406,-1.8924531439634058,-2.010731465461119,TRUE
Gary Kubiak,2011,16,10,9.409615190672717,0.5903848093272811,0.6272838599102362,TRUE
Gary Kubiak,2012,16,12,11.292076867769081,0.7079231322309181,0.7521683279953505,TRUE
Gary Kubiak,2013,13,2,7.107502265799096,-5.107502265799096,-6.67904142450651,TRUE
Gary Kubiak,2015,16,12,9.450562101416955,2.5494378985830455,2.7087777672444857,TRUE
Gary Kubiak,2016,16,9,8.532430965201117,0.46756903479888257,0.49679209947381275,TRUE
Gary Moeller,2000,9,4,4.363721939425997,-0.36372193942599784,-0.6870303300268847,TRUE
George Seifert,1999,16,8,7.813118519866991,0.18688148013301076,0.19856157264132393,TRUE
George Seifert,2000,16,7,7.4358969571859586,-0.43589695718595867,-0.4631405170100811,TRUE
George Seifert,2001,16,1,5.03662600083813,-4.03662600083813,-4.2889151258905125,TRUE
Giff Smith,2023,3,0,1.1307038892130854,-1.1307038892130854,-6.407322038874151,FALSE
Greg Schiano,2012,16,7,7.301080243113712,-0.30108024311371107,-0.319897758308318,TRUE
Greg Schiano,2013,16,4,5.966558662267856,-1.9665586622678557,-2.089468578659597,TRUE
Gregg Williams,2001,16,3,5.353453331167901,-2.3534533311679002,-2.500544164365894,TRUE
Gregg Williams,2002,16,8,7.614578289040376,0.3854217109596234,0.4095105678945999,TRUE
Gregg Williams,2003,16,6,7.950630291031451,-1.9506302910314515,-2.072544684220917,TRUE
Gregg Williams,2018,8,5,3.4369149690673706,1.5630850309326294,3.3215556907318375,TRUE
Gunther Cunningham,1999,16,9,8.389082181264245,0.6109178187357552,0.64910018240674,TRUE
Gunther Cunningham,2000,16,7,7.9958969683902215,-0.9958969683902223,-1.0581405289146113,TRUE
Gus Bradley,2013,16,4,3.6232827206374134,0.3767172793625868,0.40026210932274847,TRUE
Gus Bradley,2014,16,3,4.466259270748987,-1.4662592707489868,-1.5579004751707983,TRUE
Gus Bradley,2015,16,5,6.750079451588951,-1.750079451588951,-1.8594594173132606,TRUE
Gus Bradley,2016,14,2,5.687259554045228,-3.6872595540452284,-4.477386601340634,TRUE
Herm Edwards,2001,16,10,8.061042801163142,1.9389571988368584,2.060142023764162,TRUE
Herm Edwards,2002,16,9,7.729646877753458,1.2703531222465403,1.349750192386949,TRUE
Herm Edwards,2003,16,6,7.254846014167713,-1.2548460141677127,-1.3332738900531946,TRUE
Herm Edwards,2004,16,10,9.676511261049612,0.3234887389503873,0.34370678513478653,TRUE
Herm Edwards,2005,16,4,5.8847438010011786,-1.884743801001179,-2.0025402885637527,TRUE
Herm Edwards,2006,16,9,8.10090497411225,0.8990950258877483,0.9552884650057325,TRUE
Herm Edwards,2007,16,4,6.170986796444119,-2.1709867964441196,-2.306673471221877,TRUE
Herm Edwards,2008,16,2,4.463613142834262,-2.4636131428342622,-2.6175889642614036,TRUE
Hue Jackson,2011,16,8,7.25574805097766,0.7442519490223406,0.7907676958362369,TRUE
Hue Jackson,2016,16,1,4.5035854636984745,-3.503585463698475,-3.7225595551796298,TRUE
Hue Jackson,2017,16,0,4.633023511130569,-4.633023511130569,-4.9225874805762295,TRUE
Hue Jackson,2018,8,2.5,3.1166423211738508,-0.6166423211738509,-1.310364932494433,TRUE
Jack Del Rio,2003,16,5,6.56690035670999,-1.5669003567099895,-1.6648316290043639,TRUE
Jack Del Rio,2004,16,9,7.42394381398134,1.5760561860186608,1.6745596976448271,TRUE
Jack Del Rio,2005,16,12,9.362269849962981,2.637730150037018,2.8025882844143313,TRUE
Jack Del Rio,2006,16,8,8.86028576016126,-0.8602857601612585,-0.9140536201713371,TRUE
Jack Del Rio,2007,16,11,8.712550977492032,2.287449022507968,2.430414586414716,TRUE
Jack Del Rio,2008,16,5,8.118778254646527,-3.1187782546465277,-3.3137018955619357,TRUE
Jack Del Rio,2009,16,7,7.535406475760123,-0.5354064757601232,-0.5688693804951309,TRUE
Jack Del Rio,2010,16,8,6.687636719561201,1.3123632804387995,1.3943859854662244,TRUE
Jack Del Rio,2011,11,3,3.6338721375833596,-0.6338721375833598,-0.9796205762651925,TRUE
Jack Del Rio,2015,16,7,6.755336016753916,0.24466398324608352,0.25995548219896375,TRUE
Jack Del Rio,2016,16,12,8.517002991896918,3.482997008103081,3.7006843211095237,TRUE
Jack Del Rio,2017,16,6,7.816518358780449,-1.8165183587804492,-1.9300507562042273,TRUE
Jason Garrett,2010,8,5,3.9302745801287466,1.0697254198712536,2.273166517226414,TRUE
Jason Garrett,2011,16,8,9.479555541499808,-1.4795555414998098,-1.572027762843548,TRUE
Jason Garrett,2012,16,8,8.59515555909449,-0.5951555590944908,-0.6323527815378964,TRUE
Jason Garrett,2013,16,8,8.219401261001376,-0.21940126100137824,-0.23311383981396439,TRUE
Jason Garrett,2014,16,12,8.921323090089366,3.0786769099106337,3.2710942167800483,TRUE
Jason Garrett,2015,16,4,6.898940544327606,-2.8989405443276066,-3.080124328348082,TRUE
Jason Garrett,2016,16,13,9.087249207035507,3.912750792964493,4.157297717524774,TRUE
Jason Garrett,2017,16,9,9.163945462101177,-0.16394546210117766,-0.17419205348250127,TRUE
Jason Garrett,2018,16,10,7.686601383858444,2.313398616141555,2.457986029650402,TRUE
Jason Garrett,2019,16,8,10.575076956473717,-2.575076956473719,-2.7360192662533267,TRUE
