coach,first_season,last_season,games,actual_wins,expected_wins,wins_above_expectation,rate_per17,sd_wae,sd_rate_per17,z,outside_cone,eligible
Mike Singletary,2008,2010,40,18,19.493939850616563,-1.4939398506165644,-0.6349244365120399,2.921889077186006,1.2418028578040525,-0.5112924588004341,FALSE,TRUE
Jon Gruden,1999,2021,213,109,110.51308296793644,-1.5130829679365694,-0.12076249039869333,6.7429545434710265,0.5381700809343073,-0.22439465640497847,FALSE,TRUE
Chris Palmer,1999,2000,32,5,6.522364815536743,-1.522364815536743,-0.8087563082538948,2.205379580522883,1.1716079021527814,-0.6902960510660932,FALSE,TRUE
Rex Ryan,2009,2016,127,61,62.53842441810609,-1.5384244181061026,-0.20593082762050194,5.284094688041788,0.7073197613914204,-0.2911424773646934,FALSE,TRUE
Vic Fangio,2019,2021,49,19,20.539262349806233,-1.5392623498062254,-0.5340297948307312,3.2085619955708813,1.1131745698919384,-0.4797358916333961,FALSE,TRUE
Aaron Kromer,2012,2012,6,2,3.603126717920234,-1.6031267179202335,-4.542192367440662,1.1181788078718151,3.168173288970143,-1.4336944204580306,FALSE,FALSE
Marc Trestman,2013,2014,32,13,14.70436380445498,-1.7043638044549783,-0.9054432711167072,2.6803963515405873,1.423960561755937,-0.6358626042284293,FALSE,TRUE
Lane Kiffin,2007,2008,20,5,6.765127676502333,-1.7651276765023338,-1.5003585250269837,2.0119591100703915,1.7101652435598327,-0.8773178677774311,FALSE,TRUE
Steve Spurrier,2002,2003,32,12,13.776222328833569,-1.7762223288335683,-0.9436181121928332,2.687903458212648,1.4279487121754693,-0.6608207312678884,FALSE,TRUE
Brad Childress,2006,2010,74,39,40.86080433276256,-1.8608043327625747,-0.4274820764454564,3.9797224441618053,0.914260561496631,-0.467571384404545,FALSE,TRUE
Dom Capers,2002,2005,64,18,19.879497552319343,-1.879497552319342,-0.49924153733482524,3.503201360199488,0.930537861302989,-0.53650857003901,FALSE,TRUE
Urban Meyer,2021,2021,13,2,3.9039600550803955,-1.9039600550803955,-2.489793918182056,1.5786932702020984,2.0644450456488976,-1.2060354541428162,FALSE,FALSE
Arthur Smith,2021,2023,51,21,22.926201526505164,-1.9262015265051522,-0.6420671755017173,3.356992795168924,1.1189975983896414,-0.573787804751075,FALSE,TRUE
Bill Callahan,2002,2019,43,18,19.970665285559217,-1.9706652855592144,-0.7791002291745731,2.9542903944542163,1.1679752722260857,-0.6670519896278783,FALSE,TRUE
Joe Philbin,2012,2018,68,31,32.995879779608174,-1.9958797796081664,-0.4989699449020416,3.8915094051872403,0.9728773512968101,-0.512880625946254,FALSE,TRUE
Jeff Saturday,2022,2022,8,1,3.055028210622718,-2.055028210622718,-4.3669349475732755,1.3197409701900347,2.804449561653824,-1.557145119414461,FALSE,FALSE
Kliff Kingsbury,2019,2022,66,28.5,30.69902694293949,-2.19902694293948,-0.5664160307571389,3.7476888326020252,0.9653137902156731,-0.5867688170398856,FALSE,TRUE
Ray Rhodes,1999,1999,16,8,10.210438174750331,-2.2104381747503314,-2.348590560672227,1.8553572430950072,1.971317070788445,-1.1913814350184104,FALSE,TRUE
Jim Mora,1999,2009,112,60,62.23957321727709,-2.23957321727709,-0.3399352204795583,4.910622623275172,0.7453623624614101,-0.4560670589228443,FALSE,TRUE
Kyle Shanahan,2017,2025,149,82,84.24392065042193,-2.243920650421983,-0.2560177923300249,5.5783466177948995,0.6364556543792838,-0.402255507620105,FALSE,TRUE
Aaron Glenn,2025,2025,17,3,5.244626548252715,-2.2446265482527155,-2.2446265482527155,1.8188712474147992,1.8188712474147992,-1.2340766568513584,FALSE,TRUE
Raheem Morris,2009,2025,93,37,39.249700124518476,-2.2497001245184833,-0.41123550663241093,4.457916748757754,0.8148880078374389,-0.5046527899260089,FALSE,TRUE
Bruce Coslet,1999,2000,19,4,6.264935913407843,-2.2649359134078444,-2.0265216067333345,1.8626087279829548,1.66654465135317,-1.2160019865581622,FALSE,TRUE
Greg Schiano,2012,2013,32,11,13.267638905381569,-2.2676389053815664,-1.2046831684839572,2.6402965825323506,1.4026575594703112,-0.8588576451538781,FALSE,TRUE
Mike Tice,2001,2005,65,32,34.27703807576246,-2.277038075762475,-0.5955330351994166,3.760648615399454,0.9835542532583187,-0.6054907832755891,FALSE,TRUE
Jim Haslett,2000,2008,108,47,49.317365043110904,-2.317365043110911,-0.3647704234526434,4.817326472791005,0.7582828707171027,-0.4810479539221065,FALSE,TRUE
Dan Quinn,2015,2025,119,60,62.348772934088856,-2.3487729340888577,-0.3355389905841225,5.113162669512598,0.7304518099303712,-0.4593581479606534,FALSE,TRUE
Gregg Williams,2001,2018,56,22,24.3555768803071,-2.3555768803070976,-0.7150858386646546,3.5145072827020463,1.0669039965345497,-0.6702438466697578,FALSE,TRUE
Kevin Stefanski,2020,2025,101,45,47.39004718457389,-2.3900471845739,-0.40228516968075545,4.671523242586388,0.7862959913264217,-0.5116205272802306,FALSE,TRUE
Brandon Staley,2021,2023,48,24,26.412943089593295,-2.412943089593292,-0.8545840108976244,3.2877763433855196,1.1644207882823716,-0.7339133923898893,FALSE,TRUE
Freddie Kitchens,2019,2019,16,6,8.421743114010384,-2.4217431140103844,-2.5731020586360334,1.848749261955691,1.9642960908279217,-1.3099359463427478,FALSE,TRUE
Rob Chudzinski,2013,2013,16,4,6.66013004021065,-2.6601300402106505,-2.8263881677238163,1.8721090053397325,1.9891158181734658,-1.4209268972176732,FALSE,TRUE
Todd Bowles,2011,2025,135,61,63.749626946677836,-2.749626946677857,-0.3462493192112857,5.386777698749314,0.6783349694721359,-0.5104400256420935,FALSE,TRUE
Frank Reich,2018,2023,85,41.5,44.25043863334207,-2.7504386333420663,-0.5500877266684132,4.263932711837525,0.8527865423675051,-0.6450473821283111,FALSE,TRUE
Dave Campo,2000,2002,48,15,17.776812776372786,-2.7768127763727866,-0.9834545249653619,3.115401454557445,1.1033713484890952,-0.8913178018552488,FALSE,TRUE
Art Shell,2006,2006,16,2,4.777606433728792,-2.777606433728791,-2.9512068358368406,1.727806870577739,1.8357947999888475,-1.607590802553079,FALSE,TRUE
