off_play_caller,season,n_games,script_epa,n_script,rest_epa,n_rest,gap
Kyle Shanahan,2020,16,0.0283414631592006,240,-0.0532390173242961,415,0.0815804804834967
Kyle Shanahan,2021,20,0.00757040997873083,300,0.0438062604122693,441,-0.0362358504335385
Kyle Shanahan,2022,20,0.068839588449936,300,0.0896266362969308,309,-0.0207870478469948
Kyle Shanahan,2023,20,0.2024623816156,300,0.0449228752760292,288,0.157539506339571
Kyle Shanahan,2024,17,0.0934679887230507,255,0.0559828038363115,311,0.0374851848867391
Kyle Shanahan,2025,19,0.088504680516304,285,0.104205464353742,402,-0.0157007838374384
Liam Coen,2024,18,0.191661476682977,270,0.0812357955082713,419,0.110425681174706
Liam Coen,2025,18,0.0561872487665555,270,0.0422517746805514,407,0.013935474086004
Luke Getsy,2022,17,0.118946221069279,255,-0.107547780098208,384,0.226494001167487
Luke Getsy,2023,17,0.15614259477001,255,-0.103415602052424,372,0.259558196822435
Marc Trestman,2015,16,-0.0592378171618729,240,-0.0813405862227163,566,0.0221027690608434
Marty Mornhinweg,2017,16,-0.138078090421985,240,-0.0402382270049546,216,-0.0978398634170302
Marty Mornhinweg,2018,17,0.024869886776958,255,-0.0543960520804106,425,0.0792659388573686
Matt Canada,2021,18,-0.2204287328523,270,-0.0246832859229423,389,-0.195745446929357
Matt Canada,2022,17,-0.00645702379455253,255,0.0362923875548178,501,-0.0427494113493704
Matt LaFleur,2018,16,-0.0229218540423478,240,-0.0187083949775996,384,-0.00421345906474818
Matt LaFleur,2019,18,0.156759456747764,270,0.0380769678964541,349,0.11868248885131
Matt LaFleur,2020,18,0.297541075447061,270,0.127538268814105,261,0.170002806632956
Matt LaFleur,2021,18,0.0432761845958213,270,0.218525636561677,403,-0.175249451965856
Matt LaFleur,2022,17,-0.00484857915139832,255,-0.0519099402454288,367,0.0470613610940305
Matt LaFleur,2023,19,0.0173555660047854,285,0.0930355556574365,501,-0.075679989652651
Matt LaFleur,2024,18,0.0700248200478944,270,0.0429501115768027,302,0.0270747084710918
Matt LaFleur,2025,18,0.0874240351082824,270,0.240655913835516,404,-0.153231878727234
Matt Nagy,2018,17,0.0316345354235817,255,0.0256710095058712,440,0.00596352591771045
Matt Nagy,2019,16,-0.206278110505365,240,0.0112619507865008,363,-0.217540061291865
Matt Patricia,2022,17,-0.0416189351748215,255,-0.0344850635050752,378,-0.00713387166974631
Mike Kafka,2022,19,-0.0856978457921408,285,0.0555652915182509,437,-0.141263137310392
Mike Kafka,2023,17,-0.255304758328641,255,-0.138385724174106,326,-0.116919034154534
Mike Kafka,2025,17,0.0838264655581614,255,-0.00605291338704342,419,0.0898793789452048
Mike LaFleur,2021,17,-0.0985349861613749,255,-0.0699878500300436,247,-0.0285471361313314
Mike LaFleur,2022,17,-0.159138531386272,255,-0.109055210582394,413,-0.0500833208038774
Mike McCarthy,2016,19,0.0833790920053863,285,0.126869905280176,415,-0.0434908132747895
Mike McCarthy,2017,16,0.00568933490991839,240,-0.0374263538917247,355,0.0431156888016431
Mike McCarthy,2018,12,0.199073525781714,180,-0.100423855951897,261,0.299497381733611
Mike McCarthy,2023,18,0.0824051503321516,270,0.0485523758372257,242,0.0338527744949259
Mike McCarthy,2024,17,-0.0267243643273334,255,0.01210019806614,360,-0.0388245623934734
Mike McDaniel,2022,18,0.177281837184005,270,-0.06231431956181,403,0.239596156745815
Mike McDaniel,2023,18,0.174753458772326,270,0.100068050246599,221,0.0746854085257277
Mike McDaniel,2024,17,-0.0259702857426932,255,-0.132553414293513,410,0.106583128550819
Mike McDaniel,2025,17,0.132102178597936,255,0.117598880732513,216,0.0145032978654235
Mike Shula,2015,19,0.111590498533418,285,0.162249980946934,358,-0.050659482413516
Mike Shula,2016,16,-0.106750040733284,240,-0.0262111068561691,288,-0.0805389338771146
Mike Shula,2017,17,0.00864194446773918,255,-0.0103320041280613,374,0.0189739485958005
Nathaniel Hackett,2017,19,0.124224207744974,285,-0.111226359976615,486,0.235450567721589
Nathaniel Hackett,2023,17,-0.335621601307961,255,-0.192285163480371,309,-0.14333643782759
Nick Caley,2025,19,-0.0270744243823201,285,-0.0903887989150194,467,0.0633143745326994
Norv Turner,2015,17,0.0544718370699366,255,-0.0491444506236491,371,0.103616287693586
Norv Turner,2018,16,0.113334335927865,240,0.0342585242575143,339,0.0790758116703508
Norv Turner,2019,12,-0.0456211410646046,180,-0.076010982534261,249,0.0303898414696565
Pat Shurmur,2017,18,-0.0359755012993281,270,0.079335821339981,374,-0.115311322639309
Pat Shurmur,2018,16,-0.000252511252849279,240,-0.0928458281967442,380,0.092593316943895
Pat Shurmur,2019,16,-0.0140310621437265,240,-0.160233249669334,261,0.146202187525608
Pat Shurmur,2020,16,-0.127609605848877,240,-0.00962334446116252,317,-0.117986261387714
Pat Shurmur,2021,16,-0.0746208560025809,240,0.0569874891926944,302,-0.131608345195275
Pep Hamilton,2022,17,-0.214993723642247,255,-0.179168390592942,362,-0.0358253330493046
Pete Carmichael,2022,17,0.0284650017301539,255,-0.0547676668926209,386,0.0832326686227748
Pete Carmichael,2023,17,-0.0277608560009459,255,-0.0321468718853972,419,0.0043860158844513
Press Taylor,2023,17,0.028899947124951,255,-0.0821995447005961,339,0.111099491825547
Press Taylor,2024,17,-0.0488238512453188,255,-0.010167369679347,421,-0.0386564815659718
Randy Fichtner,2018,16,0.0220913701428213,240,0.184245981945978,445,-0.162154611803157
Randy Fichtner,2019,16,-0.228838213633659,240,-0.0832382668055422,418,-0.145599946828116
Randy Fichtner,2020,17,-0.285759706117518,255,0.155070183519015,295,-0.440829889636533
Rich Scangarello,2019,16,0.107121478112607,240,-0.157667347572049,342,0.264788825684656
Rick Dennison,2017,17,-0.05558002721962,255,0.0062711841161951,396,-0.0618512113358151
Rob Boras,2016,16,-0.144988295145602,240,-0.200327726827738,313,0.0553394316821361
Rob Chudzinski,2016,16,-0.0702040881159334,240,0.0933983487066257,424,-0.163602436822559
Rob Chudzinski,2017,16,-0.0232497881337241,240,-0.0796246219826288,410,0.0563748338489047
