coach,season,wat17,act17,wae17,games,fourth_s,penalties_s,plays_pen,offense_s,defense_s,off_plays,def_plays,two_s,tds
Kliff Kingsbury,2020,0.69643036398824,8.5,-1.05523252551088,16,-0.010611954747816042,-0.01071117512528625,1246,0.03409921617605799,0.024906152083636078,1068,1047,-0.03148605514392594,49
Kliff Kingsbury,2021,2.43780652208493,11,0.790533968081295,17,0.00616661863948113,-0.0043876299637770205,1286,0.07890569626824998,0.03982699066986252,1112,1025,-0.053402061855670105,50
Kliff Kingsbury,2022,-5.66519883054455,4,-2.34214146628328,17,0.008640463011591267,-0.006165413533834589,1325,-0.1232354053557873,-0.023148632944487314,1142,1060,0.18582097032878908,32
Kyle Shanahan,2017,1.47276511237897,6.375,0.153394182122427,16,NA,-0.0010592455467903841,1234,0.07939152302207156,0.018821603758499436,1046,1049,-0.04257134451309209,30
Kyle Shanahan,2018,-3.04633534698544,4.25,-2.2866269957679,16,0.0017538671095428636,0.003056124151244531,1179,-0.014231224853701548,-0.042446526668664414,993,1002,0.07600690971906537,34
Kyle Shanahan,2019,4.1724805352918,13.8125,3.11728085129505,16,0.00033275142217607453,-0.0029623219909904533,1168,0.0451579258389527,0.13258169678923032,996,970,0.007855656228972038,51
Kyle Shanahan,2020,-2.94186269388355,6.375,-2.22681222935606,16,-0.009419932899600542,-0.005495482414847257,1203,-0.021880890788276715,0.032818810538180795,1040,977,-0.0018014540307533938,44
Kyle Shanahan,2021,-0.939447926050288,10,-0.495524638922063,17,-0.001400688092955349,8.129294943001603e-4,1192,0.021355199053804647,3.5209686328843e-4,1032,1026,-0.0509020618556701,48
Kyle Shanahan,2022,2.9519542694072,13,1.44530313733312,17,0.004536622710110013,-0.004434964282586669,1202,0.0606132154125732,0.08356798985892569,1030,1017,-0.0954290296712109,50
Kyle Shanahan,2023,1.33479877914427,12,-0.668437439584299,17,0.018753206962540996,-0.0013124831517403734,1141,0.16268575701872096,-0.0017692215462383892,996,1034,-0.10333604556550041,60
Kyle Shanahan,2024,-4.93238328834342,6,-3.8998501858549,17,-0.004295999893226637,-0.004262798135236424,1183,0.01138038517210277,-0.09337613684132279,1014,1018,-0.05142749812171299,40
Kyle Shanahan,2025,3.25633176237107,12,2.54424889232991,17,0.003576148276121991,0.011859373273933643,1203,0.09230663600089675,-0.09345787097423588,1065,1019,0.007853649360421378,48
Leslie Frazier,2012,3.2734722633646,10.625,2.74840285142064,16,NA,0.008838139152667627,1153,0.05128329286779283,-0.013414228823565699,988,1074,0.03813569607962131,35
Leslie Frazier,2013,-2.05497232621148,5.84375,-0.439304901006067,16,NA,0.011647612840236844,1163,7.134686951317665e-4,-0.09849298467010617,1006,1116,-0.03311673506611947,43
Liam Coen,2025,5.52030527093724,13,3.84871683375258,17,0.0015271679942877037,-0.007608768656123394,1259,0.032236594298888484,0.1435041164851351,1073,1030,-0.017881644757225687,51
Lovie Smith,2012,2.06461662829258,10.625,0.447379765169275,16,NA,-0.00434367869306488,1173,-0.06479925894134166,0.16555754663661829,982,1011,0.014921410365335598,32
Lovie Smith,2014,-6.72187416902733,2.125,-3.76456631322938,16,NA,-0.01577352316117589,1123,-0.10750319339014675,-0.036631024056782126,930,1050,-0.048494983277591976,28
Lovie Smith,2015,-1.23464366904238,6.375,-0.782724096214749,16,NA,-0.013930012675582686,1200,0.04981648588358088,-0.0326051147912395,1007,1025,0.010996181545748954,34
Lovie Smith,2022,-1.58748529274747,3.5,-1.21072798807066,17,-0.007570111127579372,0.0021415089015282135,1199,-0.09091853600751702,0.038278847831167716,1011,1114,0.08314239890021767,28
Marc Trestman,2013,0.535940073361076,8.5,-0.184070651412638,16,NA,0.004621703778716662,1157,0.09978981718067093,-0.066356681186802,1004,1012,0.0769607843137255,45
Marc Trestman,2014,-3.02265871194949,5.3125,-1.62681589082078,16,NA,-0.01174631640116755,1175,-0.04877528160515176,-0.08075092333780891,997,990,0.07971014492753623,39
Marvin Lewis,2012,3.2138880173514,10.625,1.71793047379367,16,NA,-0.0032585283470016255,1180,0.03960520018196445,0.06777500884639234,995,1022,-0.0475785896346644,39
Marvin Lewis,2013,3.87884537511392,11.6875,1.63610609111617,16,NA,0.0015647961682904235,1235,0.05956022114392454,0.09898360454306385,1077,1034,-0.035095953274927,47
Marvin Lewis,2014,2.09694921808646,11.15625,1.97805815956874,16,NA,0.0015294225678457313,1192,-0.024675995291567974,-5.376937471065386e-4,1006,1060,-0.022853957636566335,39
Marvin Lewis,2015,3.75613507245322,12.75,2.12585648967848,16,NA,-0.0085190537714731,1168,0.07450156331879833,0.0304297689749492,988,1025,-0.056830949306591994,49
Marvin Lewis,2016,-2.66458203898269,6.90625,-2.0125805090616,16,NA,0.010984918737721356,1216,-0.006390755196920728,-0.005116982309545133,1039,1026,-0.08488278092158448,35
Marvin Lewis,2017,-1.88346959785403,7.4375,-0.601850094079678,16,NA,0.004690614342029501,1070,-0.09782018044914721,0.002302310429574489,908,1082,-0.07590467784642542,31
Marvin Lewis,2018,-1.63286688645903,6.375,-0.45096881525631,16,0.009959897324087315,-0.012790312227238004,1126,-0.006698379577627655,-0.10312972470138054,933,1068,-4.6367851622874934e-4,40
Matt Eberflus,2022,-1.4896131616806,3,-2.53479775712954,17,0.008630868531825556,-0.0021303258145363435,1140,0.07060230649305183,-0.06549245656046962,985,1023,0.03970610546392424,37
Matt Eberflus,2023,0.283203552613309,7,0.305081730802874,17,0.0010115036271461306,-0.004267980279016641,1260,0.04211350767149509,0.023009602647818855,1089,1029,0.01094966872021387,35
Matt Eberflus,2024,-2.54672411217851,5,-2.0701611232898,17,-0.006430830256503126,-0.008992262766501384,1269,-0.061054697448577944,0.013198823956304704,1059,1021,0.20160280490859006,33
Matt LaFleur,2019,4.10512527635302,13.8125,3.33351838201762,16,-3.798353812550434e-5,-0.00802460938641198,1192,0.014691691520929868,0.013406098491251205,999,991,-0.022001741275484293,44
Matt LaFleur,2020,3.68361870261061,13.8125,2.634924351329,16,0.010479311079082116,1.6677875125029398e-4,1094,0.1407094984669278,-0.006035772821053113,968,972,-0.045835544939844305,64
Matt LaFleur,2021,1.65824581441569,13,2.37250249966966,17,0.012234387992329163,0.013529063185127525,1199,0.04266430966605511,-0.027144239098767654,1052,1030,-0.05570975416336241,52
Matt LaFleur,2022,-3.38679137593427,8,-1.81570279787588,17,0.0036051096144645196,0.004148411741822747,1179,-0.07552124125400839,-0.071239189531581,1036,978,-0.020429029671210908,40
Matt LaFleur,2023,0.722377584383377,9,0.934634265885661,17,0.010162765316697648,-0.0010046092028866555,1207,0.09681975191379617,-0.031131558025387293,1041,1052,0.01571157348211863,42
Matt LaFleur,2024,2.34770650089876,11,0.990462602246621,17,4.3461646133239815e-4,1.062838729860155e-5,1208,0.050235364763573355,0.09409969797934337,1022,1027,0.01621956070181642,51
Matt LaFleur,2025,-0.201731162124638,9.5,-1.14313949874715,17,0.0031465916441692984,0.0043089265652529254,1142,0.06513387047959734,-0.03436118875103232,993,1056,-0.05085847185169984,44
Matt Nagy,2018,5.35847653820849,12.75,2.50457551619274,16,0.012166923352781314,0.0032613742631666318,1186,0.06291570749134127,0.1389513847476016,1000,1008,0.013172685120134878,44
Matt Nagy,2019,-1.08963298916212,8.5,-0.86964935303847,16,-3.662697609804061e-5,0.006495374086323613,1202,-0.09909361365726789,0.008266387770184916,1012,1008,-0.055700800836612815,29
Matt Nagy,2020,0.629278466421131,8.5,1.2889479534547,16,2.3110669974157894e-4,1.2853286077122578e-4,1195,-0.022902171116209524,0.009753966367726952,1034,1002,-0.015787468016767378,39
Matt Nagy,2021,-1.72931415725714,6,0.0283299504896117,17,0.011051243570484823,0.0028494482563575993,1235,-0.07931879429489869,-0.017683710498925812,1067,991,0.015630196208846023,31
Matt Patricia,2018,-1.55218974211519,6.375,-0.560906012923789,16,-0.012119006861324562,0.01348207108573839,1191,-0.0539112065866077,0.0013531808447046975,1014,933,0.051051472998922764,33
Matt Patricia,2019,-4.25967387754813,3.71875,-2.53108844588876,16,-0.007025630746640383,-0.0033191162618533415,1207,-0.03134836977932317,-0.04801191072727824,1011,1076,-0.03462800390174692,36
Matt Patricia,2020,-2.95531536733833,6.18181818181818,-1.59119167371399,11,-0.001208932894625956,-0.0028408287264875126,1147,-0.06796788701814026,-0.16018571332724305,982,1049,-0.0018014540307533938,44
