off_caller,tier,n_contested,contested_rate,contested_era_adj,contested_lo,contested_hi,contested_era_shrunk,rank_open,n_in_tier_contested,n_comp,comp_actual,comp_expected,comp_oe,comp_lo,comp_hi,rank_comp,n_in_tier_comp
Nathaniel Hackett,WR1,288,23.61111111111111,7.401623598839233,2.496689954341349,12.306557243337117,5.045484370479309,33,36,288,57.29166666666665,64.38546432699594,-7.093797660329265,-12.460423096400966,-1.727172224257565,35,36
Pete Carmichael,WR1,254,15.748031496062993,-0.550909972542108,-5.030542389482821,3.9287224443986046,-0.3964783980120541,17,36,254,62.20472440944883,60.38100412628782,1.8237202831609938,-3.6408101543627662,7.288250720684754,18,36
Press Taylor,WR1,260,13.846153846153847,-2.2877841318435337,-6.486063251299644,1.9104949876125765,-1.704608789168971,10,36,260,60.76923076923079,59.76142509625508,1.0078056729756817,-4.526543345173026,6.54215469112439,22,36
Scott Turner,WR1,188,16.48936170212766,-0.11662707642679848,-5.421194459839413,5.187940306985816,-0.0754294193875009,19,36,188,64.36170212765958,62.17521340289014,2.1864887247694127,-4.237199342905916,8.610176792444742,17,36
Sean McVay,WR1,512,15.234375,-1.327395791528815,-4.440139012638642,1.7853474295810128,-1.1172711487748221,14,36,512,73.4375,67.60163881699555,5.835861183004454,2.2329593452536938,9.438763020755214,4,36
Sean Payton,WR1,340,21.764705882352942,5.193308336460792,0.8070483099518038,9.57956836296978,3.7812421575776267,32,36,340,61.1764705882353,58.809991242254476,2.36647934598081,-2.6402989625609945,7.3732576545226145,14,36
Shane Steichen,WR1,513,16.569200779727094,0.04897528831858722,-3.1684714850908464,3.266422061728021,0.04078098139210045,20,36,513,65.8869395711501,65.83426731546022,0.052672255689876664,-3.8066816574849733,3.9120261688647266,25,36
Shane Waldron,WR1,324,20.061728395061728,3.698798187667972,-0.6617904258077631,8.059386801143706,2.7016643792555244,31,36,324,63.888888888888886,62.42786636231122,1.4610225265776684,-3.2595007322043896,6.181545785359726,19,36
Todd Downing,WR1,181,15.469613259668508,-1.0918773155148873,-6.360085638661531,4.176331007631757,-0.7096041350832303,16,36,181,64.64088397790056,66.5654107928276,-1.924526814927055,-8.483278161201497,4.634224531347387,31,36
Todd Monken,WR1,341,9.090909090909092,-7.43471975984261,-10.48602880686864,-4.383410712816579,-6.29677233656898,2,36,341,69.208211143695,65.9910205653336,3.2171905783614054,-1.3865656805901772,7.820946837312988,12,36
Zac Robinson,WR1,267,24.719101123595507,7.982492190813694,2.8081019897093222,13.156882391918067,5.2526868723616005,35,36,267,61.79775280898874,61.92315326871051,-0.1254004597217302,-5.70923887969168,5.4584379602482205,26,36
Zac Taylor,WR1,627,15.629984051036683,-0.9640552811564937,-3.806523607079796,1.8784130447668086,-0.8333610864223313,15,36,627,68.74003189792663,66.50391009055447,2.236121807372169,-1.185915011722873,5.658158626467211,16,36
Andy Reid,WR2,267,17.60299625468165,1.0581200591195135,-3.510125583954265,5.626365702193292,0.656448196040039,22,36,267,59.55056179775282,59.57859835486287,-0.02803655711006656,-5.696178534091049,5.640105419870916,22,36
Arthur Smith,WR2,200,13.5,-3.0990568740904685,-7.835103960005049,1.636990211824112,-1.8695325788335262,9,36,200,61,62.09609814733267,-1.0960981473326745,-7.467486368370007,5.2752900737046575,26,36
Ben Johnson,WR2,294,13.605442176870747,-2.9310879200271938,-6.8501480754585495,0.987972235404162,-2.020972724178158,7,36,294,63.94557823129251,64.34691779974366,-0.40133956845115126,-5.682944638525543,4.88026550162324,24,36
Bo Hardegree,WR2,107,14.953271028037383,-1.419776067294924,-8.176887675923151,5.337335541333302,-0.6070703934317717,14,36,107,67.28971962616822,65.8785628659703,1.4111567601979325,-7.072253217309908,9.894566737705773,17,36
Bobby Slowik,WR2,153,15.686274509803921,-0.41808255921765003,-6.180694849388832,5.344529730953532,-0.21183024627169364,17,36,153,62.745098039215684,60.56031224384807,2.184785795367618,-5.13074842520923,9.500320015944467,10,36
Dave Canales,WR2,250,17.6,1.422048530639728,-3.298647174020762,6.142744235300218,0.8600714536888884,24,36,250,63.99999999999999,63.941922175884244,0.058077824115750694,-5.593739425264633,5.709895073496134,21,36
Drew Petzing,WR2,198,18.68686868686869,2.1870602370285077,-3.2425928951015797,7.616713369158595,1.1730620090696826,28,36,198,63.131313131313114,63.71280370336591,-0.5814905720527648,-7.046567914979236,5.883586770873706,25,36
Greg Roman,WR2,244,15.98360655737705,-0.8848770268965485,-5.48299983000652,3.713245776213423,-0.5462485471975987,15,36,244,64.34426229508195,64.13237127002147,0.2118910250605164,-5.331634033455031,5.755416083576065,20,36
Joe Brady,WR2,139,19.424460431654676,2.7727463302771476,-3.8042070643779358,9.349699724932231,1.2223902448391664,29,36,139,54.67625899280575,56.68576921490457,-2.0095102220988115,-9.656024870429883,5.637004426232261,28,36
Josh McDaniels,WR2,208,20.192307692307693,3.72808815346405,-1.7274771431814475,9.183653450109547,1.9907843117311446,32,36,208,64.42307692307693,62.05458652156477,2.368490401512152,-3.5236300541948884,8.260610857219191,9,36
