season,team,coach,n_players,top25_ovr,talent_z,wins,predicted_wins,residual_wins
2020,LAC,Anthony Lynn,25,76,-1.3359230152068577,7,6.417949396504208,0.5820506034957917
2020,LV,Jon Gruden,25,79,0.08150193461474882,8,8.387558053322625,-0.38755805332262483
2020,MIA,Brian Flores,25,75.68,-1.4871150098544925,10,6.207857806443582,3.792142193556418
2020,MIN,Mike Zimmer,25,78.68,-0.06969006003288598,7,8.177466463261998,-1.1774664632619984
2020,NE,Bill Belichick,25,81.36,1.196542895141079,7,9.936983530019779,-2.936983530019779
2020,NO,Sean Payton,25,83.96,2.4249778516531353,12,11.643977699262404,0.356022300737596
2020,NYG,Joe Judge,25,75.56,-1.543812007847359,6,6.129073460170842,-0.12907346017084187
2020,NYJ,Adam Gase,25,76.24,-1.2225290192211316,2,6.5755180890496785,-4.5755180890496785
2020,PHI,Doug Pederson,25,81.6,1.3099368911268052,4.5,10.09455222256525,-5.59455222256525
2020,PIT,Mike Tomlin,25,80.96,1.0075529018315288,12,9.674369042443987,2.3256309575560135
2020,SEA,Pete Carroll,25,80.08,0.5917749165505264,12,9.096617169777254,2.9033828302227462
2020,SF,Kyle Shanahan,25,82.16,1.5745228817601726,6,10.462212505171355,-4.462212505171355
2020,TB,Bruce Arians,25,79.92,0.516178919226709,11,8.991571374746941,2.0084286252530585
2020,TEN,Mike Vrabel,25,77.16,-0.7878520346091714,11,7.179531410473994,3.8204685895260058
2020,WAS,Ron Rivera,25,76.44,-1.1280340225663565,7,6.706825332837575,0.29317466716242535
2021,ARI,Kliff Kingsbury,25,80.12,0.6039928596546371,11,9.113594835162218,1.8864051648377824
2021,ATL,Arthur Smith,25,77.04,-0.9576424039225184,7,6.943596110135127,0.05640388986487288
2021,BAL,John Harbaugh,25,82.4,1.7600085742507146,8,10.719957527714742,-2.719957527714742
2021,BUF,Sean McDermott,25,80.92,1.0096124086357152,11,9.677230867636785,1.3227691323632147
2021,CAR,Matt Rhule,25,76.84,-1.0590472911677897,5,6.802687102016483,-1.802687102016483
2021,CHI,Matt Nagy,25,78.36,-0.2883701481037406,6,7.873595563718162,-1.8735955637181618
2021,CIN,Zac Taylor,25,76.92,-1.0184853362696826,10,6.859050705263938,3.140949294736062
2021,CLE,Kevin Stefanski,25,79.24,0.15781135577544464,8,8.493595199440184,-0.4935951994401844
2021,DAL,Mike McCarthy,25,79.36,0.2186542881226089,12,8.578140604311374,3.4218593956886263
2021,DEN,Vic Fangio,25,79.88,0.4823069949603086,7,8.94450402541984,-1.9445040254198407
2021,DET,Dan Campbell,25,76.44,-1.2618570656583326,3.5,6.520869085779194,-3.0208690857791938
2021,GB,Matt LaFleur,25,81.84,1.4760748899639577,13,10.325412304982542,2.6745876950174576
2021,HOU,David Culley,25,75.36,-1.809443456782789,4,5.759960441938526,-1.7599604419385262
2021,IND,Frank Reich,25,80.08,0.5837118822055799,9,9.085413033538485,-0.08541303353848484
2021,JAX,Urban Meyer,25,76,-1.4849478175979252,3,6.2108692679181825,-3.2108692679181825
2021,KC,Andy Reid,25,81.28,1.1921412056772007,12,9.930867082250343,2.0691329177496574
2021,LA,Sean McVay,25,78.4,-0.26808917065468346,12,7.901777365341895,4.098222634658105
2021,LAC,Brandon Staley,25,77,-0.9779233813715756,9,6.915414308511394,2.0845856914886056
2021,LV,Rich Bisaccia,25,77.44,-0.754832629431983,10,7.225414126372406,2.7745858736275943
2021,MIA,Brian Flores,25,77.96,-0.4911799225942833,9,7.591777547480873,1.4082224525191274
2021,MIN,Mike Zimmer,25,79.72,0.4011830851640944,8,8.83177681892493,-0.8317768189249293
2021,NE,Bill Belichick,25,78.88,-0.024717441266040877,10,8.239958984826629,1.7600410151733712
2021,NO,Sean Payton,25,80,0.5431499273074728,9,9.02904943029103,-0.02904943029103002
2021,NYG,Joe Judge,25,77.64,-0.6534277421867116,4,7.36632313449105,-3.36632313449105
2021,NYJ,Robert Saleh,25,77,-0.9779233813715756,4,6.915414308511394,-2.9154143085113944
2021,PHI,Nick Sirianni,25,78.4,-0.26808917065468346,9,7.901777365341895,1.0982226346581054
2021,PIT,Mike Tomlin,25,79.16,0.11724940087733755,9.5,8.43723159619273,1.0627684038072704
2021,SEA,Pete Carroll,25,78.2,-0.36949405789995476,7,7.76086835722325,-0.7608683572232504
2021,SF,Kyle Shanahan,25,82.2,1.6586036870054433,10,10.579048519596098,-0.5790485195960979
2021,TB,Bruce Arians,25,83.48,2.3075949653751713,13,11.48086617155541,1.5191338284445894
2021,TEN,Mike Vrabel,25,79.4,0.23893526557166606,12,8.606322405935106,3.3936775940648936
2021,WAS,Ron Rivera,25,78.76,-0.08556037361319792,7,8.15541357995545,-1.1554135799554501
2022,ARI,Kliff Kingsbury,25,79.2,0.2325060835900917,4,8.59738861900779,-4.5973886190077895
2022,ATL,Arthur Smith,25,75.56,-1.5260853850185918,7,6.153705811805466,0.8462941881945341
2022,BAL,John Harbaugh,25,81.48,1.3340413990922344,10,10.128047080661993,-0.1280470806619931
2022,BUF,Sean McDermott,25,80.44,0.8315866937754648,13,9.429851992889896,3.570148007110104
2022,CAR,Steve Wilks,25,77.68,-0.5018507934113345,7,7.576949644571657,-0.5769496445716573
2022,CHI,Matt Eberflus,25,74.32,-2.1251659952039716,3,5.32124243792335,-2.32124243792335
2022,CIN,Zac Taylor,25,80.52,0.8702370557229075,12,9.483559307333902,2.516440692666098
2022,CLE,Kevin Stefanski,25,79.48,0.3677823504061448,7,8.785364219561815,-1.7853642195618153
2022,DAL,Mike McCarthy,25,79.88,0.5610341601433586,12,9.053900791781844,2.946099208218156
2022,DEN,Nathaniel Hackett,25,77.48,-0.5984766982799449,5,7.442681358461638,-2.4426813584616376
2022,DET,Dan Campbell,25,76.32,-1.158906946517882,9,6.663925299023527,2.3360747009764733
2022,GB,Matt LaFleur,25,81.64,1.41134212298712,8,10.235461709550004,-2.2354617095500036
2022,HOU,Lovie Smith,25,74.2,-2.1831415381251325,3.5,5.240681466257346,-1.740681466257346
2022,IND,Frank Reich,25,78.48,-0.11534717393690003,4.5,8.114022789011726,-3.6140227890117256
2022,JAX,Doug Pederson,25,76.68,-0.9849803177543793,9,6.905608214021568,2.0943917859784316
2022,KC,Andy Reid,25,79.96,0.5996845220908014,14,9.10760810622585,4.89239189377415
2022,LA,Sean McVay,25,79.6,0.4257578933273055,5,8.865925191227818,-3.8659251912278183
2022,LAC,Brandon Staley,25,78.96,0.11655499774775654,10,8.436266675675762,1.5637333243242377
2022,LV,Josh McDaniels,25,77.52,-0.5791515173062269,6,7.469535015683635,-1.4695350156836353
