off_caller,n_completions,yac_oe,yac_oe_lo,yac_oe_hi,rank_yac_oe,yac_oe_clean,clean_lo,clean_hi,rank_clean,yac_oe_clean_shrunk,yac_oe_contact,contact_lo,contact_hi,rank_contact,yac_oe_contact_shrunk,contact_yard_share,broke_tackle_rate
Kellen Moore,1540,-0.177559670246534,-0.472149850203489,0.117030509710422,27,-0.34192866704528,-0.566965525560874,-0.116891808529685,29,-0.303239600487406,0.164368996798745,0.0382415046378602,0.290496488959629,20,0.174681181220792,40.2919708029197,10.974025974026
Mike McCarthy,790,-0.179271002406185,-0.632848131653825,0.274306126841455,28,-0.471690845595352,-0.782068763764376,-0.161312927426328,31,-0.364565533798003,0.292419843189168,0.0745828523960168,0.51025683398232,8,0.247556839230596,42.1726876761466,12.7848101265823
Nick Caley,401,-0.214379137182176,-0.848542710176171,0.41978443581182,29,-0.128222280132532,-0.642598365782718,0.386153805517653,14,-0.14292697843955,-0.0861568570496432,-0.322951947598186,0.1506382334989,37,0.0944138669829079,35.8521787093216,7.48129675810474
Press Taylor,732,-0.288482281201278,-0.743857163294367,0.166892600891811,30,-0.281270583227122,-0.648284451554338,0.085743285100094,26,-0.236894484404867,-0.00721169797415825,-0.186460821403011,0.172037425454695,36,0.0930345416869942,39.0964863357501,11.4754098360656
Kliff Kingsbury,1107,-0.296169204393429,-0.660790447001367,0.0684520382145084,31,-0.517858033458458,-0.775762636915515,-0.259953430001401,32,-0.420698353404267,0.221688829065027,0.050066561318872,0.393311096811183,11,0.212179210091084,39.2236795462602,11.1111111111111
Kevin O'Connell,1545,-0.352042969625483,-0.635675905980739,-0.0684100332702271,32,-0.390244029031056,-0.605976903528326,-0.174511154533786,30,-0.341551891140707,0.0382010594055751,-0.0849530551330635,0.161355173944214,32,0.0879939758436626,36.353711790393,8.02588996763754
Kevin Stefanski,1017,-0.427145583573417,-0.773319526026382,-0.0809716411204514,33,-0.520489671156769,-0.768826044930464,-0.272153297383074,33,-0.416441418902602,0.0933440875833508,-0.0708252215042823,0.257513396670984,28,0.135849438306576,41.6,11.4060963618486
Ken Dorsey,918,-0.501533969124871,-0.865721537596693,-0.137346400653049,34,-0.708144787888299,-0.985429996106549,-0.430859579670049,36,-0.538547869091085,0.206610818763427,0.047653893108511,0.365567744418344,14,0.202538926148248,41.693018730236,12.3093681917211
Pete Carmichael,732,-0.543990737875626,-0.953922293958158,-0.134059181793094,35,-0.561768203428818,-0.863410671302124,-0.260125735555512,34,-0.416934329339489,0.0177774655531894,-0.163568665504,0.199123596610379,34,0.105770550770066,40.4280618311534,9.97267759562842
Bo Hardegree,436,-0.570247367639607,-1.05625451019027,-0.0842402250889447,36,-0.581752779352744,-0.949536914963164,-0.213968643742323,35,-0.376484282414299,0.011505411713136,-0.203055807232486,0.226066630658758,35,0.126214644987904,38.9103182256509,11.697247706422
Matt Canada,553,-0.717680930776377,-1.20144547103607,-0.233916390516683,37,-0.73635927701561,-1.09183644898004,-0.380882105051179,37,-0.490390557914795,0.018678346239232,-0.210370147313722,0.247726839792187,33,0.118694770289865,45.4620462046205,14.1048824593128
