caller,variable,value,side
Ryan Nielsen,Five-plus rushers,18.703241895261847,Defense
Sean McDermott,Five-plus rushers,21.152856407617087,Defense
Jim Schwartz,Five-plus rushers,28.28520919269299,Defense
Vic Fangio,Five-plus rushers,19.68426245683276,Defense
Brian Flores,Five-plus rushers,46.23250807319699,Defense
Steve Wilks,Five-plus rushers,22.93877551020408,Defense
Matt Eberflus,Five-plus rushers,24.56813819577735,Defense
Zach Orr,Five-plus rushers,21.207764198418406,Defense
Jeff Hafley,Five-plus rushers,18.705603788476715,Defense
Chris Shula,Five-plus rushers,20.877565463552724,Defense
Jesse Minter,Five-plus rushers,22.21318144833198,Defense
Anthony Weaver,Five-plus rushers,26.551724137931032,Defense
Dennard Wilson,Five-plus rushers,22.547169811320757,Defense
Joe Whitt Jr.,Five-plus rushers,31.983385254413292,Defense
Vance Joseph,Rush three,4.202626641651032,Defense
Mike Macdonald,Rush three,3.437278525868179,Defense
Lou Anarumo,Rush three,8.565891472868218,Defense
Joe Woods,Rush three,5.355064027939465,Defense
Dan Quinn,Rush three,3.942181340341656,Defense
Ejiro Evero,Rush three,2.1425448185395717,Defense
Aaron Glenn,Rush three,3.2673267326732676,Defense
Joe Barry,Rush three,3.6317567567567566,Defense
Gus Bradley,Rush three,3.187250996015936,Defense
Mike Caldwell,Rush three,4.879825200291333,Defense
Steve Spagnuolo,Rush three,4.643743353420772,Defense
Raheem Morris,Rush three,5.83596214511041,Defense
Brandon Staley,Rush three,2.2525192649673977,Defense
Patrick Graham,Rush three,5.029337803855825,Defense
Bill Belichick,Rush three,6.98967434471803,Defense
Dennis Allen,Rush three,6.851851851851852,Defense
Don Martindale,Rush three,4.341085271317829,Defense
Jeff Ulbrich,Rush three,3.7580993520518358,Defense
Teryl Austin,Rush three,1.2062256809338523,Defense
Clint Hurtt,Rush three,3.5856573705179287,Defense
DeMeco Ryans,Rush three,1.9771528998242531,Defense
Todd Bowles,Rush three,4.800590841949778,Defense
Shane Bowen,Rush three,3.103448275862069,Defense
Jack Del Rio,Rush three,1.4807502467917077,Defense
Nick Rallis,Rush three,6.577415599534342,Defense
Ryan Nielsen,Rush three,4.655029093931837,Defense
Sean McDermott,Rush three,3.705609881626351,Defense
Jim Schwartz,Rush three,0.7660577489687684,Defense
Vic Fangio,Rush three,2.1213616181549084,Defense
Brian Flores,Rush three,10.76426264800861,Defense
Steve Wilks,Rush three,0.8979591836734694,Defense
Matt Eberflus,Rush three,1.983365323096609,Defense
Zach Orr,Rush three,4.097771387491013,Defense
Jeff Hafley,Rush three,2.7624309392265194,Defense
Chris Shula,Rush three,4.246284501061571,Defense
Jesse Minter,Rush three,5.288852725793328,Defense
Anthony Weaver,Rush three,3.793103448275862,Defense
Dennard Wilson,Rush three,0.5660377358490566,Defense
Joe Whitt Jr.,Rush three,2.284527518172378,Defense
Vance Joseph,Heavy box,21.672919885235046,Defense
Mike Macdonald,Heavy box,15.987124463519315,Defense
Lou Anarumo,Heavy box,23.73680664720413,Defense
Joe Woods,Heavy box,26.032540675844807,Defense
Dan Quinn,Heavy box,25.171294626758023,Defense
Ejiro Evero,Heavy box,21.281992160479593,Defense
Aaron Glenn,Heavy box,25.802650957290137,Defense
Joe Barry,Heavy box,20.1627486437613,Defense
Gus Bradley,Heavy box,26.77925211097708,Defense
Mike Caldwell,Heavy box,26.356589147286826,Defense
Steve Spagnuolo,Heavy box,20.630313083143275,Defense
Raheem Morris,Heavy box,15.66925536774783,Defense
Brandon Staley,Heavy box,20.966688438928806,Defense
Patrick Graham,Heavy box,27.285415212840196,Defense
Bill Belichick,Heavy box,22.893772893772894,Defense
Dennis Allen,Heavy box,21.204323211528564,Defense
Don Martindale,Heavy box,29.427197201574113,Defense
Jeff Ulbrich,Heavy box,25.24407252440725,Defense
Teryl Austin,Heavy box,26.905829596412556,Defense
Clint Hurtt,Heavy box,22.35092235092235,Defense
DeMeco Ryans,Heavy box,21.875798619984664,Defense
Todd Bowles,Heavy box,29.03225806451613,Defense
Shane Bowen,Heavy box,18.487185867131128,Defense
Jack Del Rio,Heavy box,21.205230244457077,Defense
Nick Rallis,Heavy box,23.726164426383246,Defense
Ryan Nielsen,Heavy box,19.051918735891647,Defense
Sean McDermott,Heavy box,20.01166861143524,Defense
Jim Schwartz,Heavy box,33.891752577319586,Defense
Vic Fangio,Heavy box,14.460227272727272,Defense
Brian Flores,Heavy box,31.55952014764688,Defense
Steve Wilks,Heavy box,25.29439472444654,Defense
Matt Eberflus,Heavy box,21.831775700934582,Defense
Zach Orr,Heavy box,21.29916040653999,Defense
Jeff Hafley,Heavy box,20.09825815096025,Defense
Chris Shula,Heavy box,19.4264943457189,Defense
Jesse Minter,Heavy box,16.338951310861425,Defense
Anthony Weaver,Heavy box,25.967662910338067,Defense
Dennard Wilson,Heavy box,23.156853043047995,Defense
Joe Whitt Jr.,Heavy box,23.05600870038064,Defense
Vance Joseph,Man coverage,26.264518546272015,Defense
Mike Macdonald,Man coverage,22.69830028328612,Defense
Lou Anarumo,Man coverage,25.78397212543554,Defense
Joe Woods,Man coverage,24.33061699650757,Defense
Dan Quinn,Man coverage,28.608752449379494,Defense
Ejiro Evero,Man coverage,15.539065910082932,Defense
Aaron Glenn,Man coverage,36.795252225519285,Defense
Joe Barry,Man coverage,20.10135135135135,Defense
Gus Bradley,Man coverage,12.18416619876474,Defense
Mike Caldwell,Man coverage,19.186046511627907,Defense
Steve Spagnuolo,Man coverage,29.603399433427764,Defense
Raheem Morris,Man coverage,13.081166272655635,Defense
Brandon Staley,Man coverage,21.6696269982238,Defense
Patrick Graham,Man coverage,24.842899036447424,Defense
Bill Belichick,Man coverage,34.17922283901665,Defense
Dennis Allen,Man coverage,29.61591855622397,Defense
Don Martindale,Man coverage,40.775193798449614,Defense
Jeff Ulbrich,Man coverage,24.687634640241278,Defense
Teryl Austin,Man coverage,32.98368298368298,Defense
Clint Hurtt,Man coverage,15.53784860557769,Defense
DeMeco Ryans,Man coverage,20.19315188762072,Defense
Todd Bowles,Man coverage,20.605612998522897,Defense
Shane Bowen,Man coverage,27.851915626345242,Defense
Jack Del Rio,Man coverage,28.57142857142857,Defense
Nick Rallis,Man coverage,17.838466008134805,Defense
Ryan Nielsen,Man coverage,32.946058091286304,Defense
Sean McDermott,Man coverage,23.005661348430262,Defense
Jim Schwartz,Man coverage,36.984687868080094,Defense
Vic Fangio,Man coverage,23.174914257716807,Defense
Brian Flores,Man coverage,22.258064516129032,Defense
Steve Wilks,Man coverage,24.674267100977197,Defense
Matt Eberflus,Man coverage,18.234165067178505,Defense
Zach Orr,Man coverage,32.20704529115744,Defense
Jeff Hafley,Man coverage,17.363851617995266,Defense
Chris Shula,Man coverage,19.2226148409894,Defense
Jesse Minter,Man coverage,17.20779220779221,Defense
Anthony Weaver,Man coverage,21.188630490956072,Defense
Dennard Wilson,Man coverage,21.20640904806786,Defense
Joe Whitt Jr.,Man coverage,31.360332294911736,Defense
Vance Joseph,Cover 2,11.05282877482203,Defense
Mike Macdonald,Cover 2,12.429178470254957,Defense
Lou Anarumo,Cover 2,17.11188540456833,Defense
Joe Woods,Cover 2,14.551804423748546,Defense
Dan Quinn,Cover 2,20.37883736120183,Defense
Ejiro Evero,Cover 2,6.721955477957224,Defense
Aaron Glenn,Cover 2,14.886251236399604,Defense
Joe Barry,Cover 2,8.361486486486488,Defense
Gus Bradley,Cover 2,12.352610892756879,Defense
Mike Caldwell,Cover 2,15.55232558139535,Defense
Steve Spagnuolo,Cover 2,20.821529745042493,Defense
Raheem Morris,Cover 2,3.7037037037037033,Defense
Brandon Staley,Cover 2,8.052101835405566,Defense
Patrick Graham,Cover 2,17.260159195643066,Defense
Bill Belichick,Cover 2,17.208564631245043,Defense
Dennis Allen,Cover 2,20.68486811661268,Defense
Don Martindale,Cover 2,4.728682170542635,Defense
Jeff Ulbrich,Cover 2,3.963808703145196,Defense
Teryl Austin,Cover 2,16.744366744366744,Defense
Clint Hurtt,Cover 2,4.701195219123506,Defense
DeMeco Ryans,Cover 2,12.159789288849868,Defense
Todd Bowles,Cover 2,14.99261447562777,Defense
Shane Bowen,Cover 2,13.947481704692208,Defense
Jack Del Rio,Cover 2,13.793103448275861,Defense
Nick Rallis,Cover 2,14.00348634514817,Defense
Ryan Nielsen,Cover 2,20.91286307053942,Defense
Sean McDermott,Cover 2,17.55018013381369,Defense
Jim Schwartz,Cover 2,17.550058892815077,Defense
Vic Fangio,Cover 2,1.4208721215090643,Defense
Brian Flores,Cover 2,27.473118279569892,Defense
Steve Wilks,Cover 2,15.879478827361563,Defense
Matt Eberflus,Cover 2,19.577735124760075,Defense
Zach Orr,Cover 2,15.528396836808051,Defense
Jeff Hafley,Cover 2,21.468034727703238,Defense
Chris Shula,Cover 2,18.16254416961131,Defense
Jesse Minter,Cover 2,13.96103896103896,Defense
Anthony Weaver,Cover 2,26.528854435831178,Defense
Dennard Wilson,Cover 2,11.687087653157398,Defense
Joe Whitt Jr.,Cover 2,17.964693665628246,Defense
Vance Joseph,Cover 3,33.42075683776695,Defense
Mike Macdonald,Cover 3,29.53257790368272,Defense
Lou Anarumo,Cover 3,31.281455671699575,Defense
Joe Woods,Cover 3,30.61699650756694,Defense
Dan Quinn,Cover 3,28.6740692357936,Defense
Ejiro Evero,Cover 3,47.97031863814928,Defense
Aaron Glenn,Cover 3,25.420375865479723,Defense
Joe Barry,Cover 3,37.66891891891892,Defense
Gus Bradley,Cover 3,46.93992139247614,Defense
Mike Caldwell,Cover 3,37.2093023255814,Defense
Steve Spagnuolo,Cover 3,17.988668555240793,Defense
Raheem Morris,Cover 3,47.20252167060678,Defense
Brandon Staley,Cover 3,36.41207815275311,Defense
Patrick Graham,Cover 3,34.352744030163386,Defense
Bill Belichick,Cover 3,32.27597145122918,Defense
Dennis Allen,Cover 3,25.451180009254976,Defense
Don Martindale,Cover 3,27.209302325581397,Defense
Jeff Ulbrich,Cover 3,29.383886255924168,Defense
Teryl Austin,Cover 3,32.59518259518259,Defense
Clint Hurtt,Cover 3,40,Defense
DeMeco Ryans,Cover 3,32.79192273924495,Defense
Todd Bowles,Cover 3,39.254062038404726,Defense
Shane Bowen,Cover 3,28.32544123977615,Defense
Jack Del Rio,Cover 3,22.5615763546798,Defense
Nick Rallis,Cover 3,28.588030214991285,Defense
Ryan Nielsen,Cover 3,17.842323651452283,Defense
Sean McDermott,Cover 3,26.505404014410704,Defense
Jim Schwartz,Cover 3,29.681978798586574,Defense
Vic Fangio,Cover 3,33.219010289073985,Defense
Brian Flores,Cover 3,27.795698924731184,Defense
Steve Wilks,Cover 3,29.64169381107492,Defense
Matt Eberflus,Cover 3,38.00383877159309,Defense
Zach Orr,Cover 3,30.4097771387491,Defense
Jeff Hafley,Cover 3,33.22809786898185,Defense
Chris Shula,Cover 3,32.791519434628974,Defense
Jesse Minter,Cover 3,30.600649350649352,Defense
Anthony Weaver,Cover 3,28.251507321274765,Defense
Dennard Wilson,Cover 3,30.16022620169651,Defense
Joe Whitt Jr.,Cover 3,27.82969885773624,Defense
Vance Joseph,Cover 6,10.415886099662796,Defense
Mike Macdonald,Cover 6,14.022662889518415,Defense
Lou Anarumo,Cover 6,7.239643825009678,Defense
Joe Woods,Cover 6,6.635622817229336,Defense
Dan Quinn,Cover 6,3.3311561071195297,Defense
Ejiro Evero,Cover 6,14.884329986905282,Defense
Aaron Glenn,Cover 6,5.143422354104846,Defense
Joe Barry,Cover 6,12.58445945945946,Defense
Gus Bradley,Cover 6,6.513194834362718,Defense
Mike Caldwell,Cover 6,9.156976744186046,Defense
Steve Spagnuolo,Cover 6,5.701133144475921,Defense
Raheem Morris,Cover 6,14.026792750197007,Defense
Brandon Staley,Cover 6,15.689757252812313,Defense
Patrick Graham,Cover 6,5.111018014243821,Defense
