coach,resid_sit,n,resid_mad,target,shift
Scott Turner,-1.3258301208117358,1139,-1.8698297821111958,Play action,-0.54399966129946
Sean McVay,2.8986794657305675,4506,1.4310865719668218,Play action,-1.4675928937637457
Sean Payton,1.6791049660705701,3303,1.941550840493145,Play action,0.26244587442257483
Shane Steichen,0.5276507748926533,3378,0.762588098516612,Play action,0.2349373236239587
Shane Waldron,1.160798955039496,2655,-0.04831333042819729,Play action,-1.2091122854676932
Tanner Engstrand,-2.174687292819333,1009,-2.2360306266934318,Play action,-0.06134333387409896
Thomas Brown,-2.8813809403187975,1058,-2.895255322342612,Play action,-0.013874382023814302
Tim Kelly,2.8529292171807166,992,2.5545641787880213,Play action,-0.29836503839269524
Todd Downing,1.0533055273630765,1691,-0.03709520336399419,Play action,-1.0904007307270707
Todd Monken,-1.6746393687775059,3336,-0.2800267883791959,Play action,1.3946125803983098
Tommy Rees,0.510270617311559,521,0.7997928475262512,Play action,0.28952223021469226
Zac Robinson,-5.689076338404273,1082,-11.77618115734647,Play action,-6.087104818942197
Zac Taylor,-2.946281135385778,4382,-1.0344925473731503,Play action,1.9117885880126277
Aaron Glenn,6.392857256674253,3312,6.16343189896387,Blitz,-0.22942535771038308
Al Golden,-5.02592026670224,1039,-4.244431910295991,Blitz,0.7814883564062489
Al Holcomb,4.397443036875565,760,5.308723187226045,Blitz,0.9112801503504802
Alan Williams,-3.5277908716271646,1025,-3.814724971457625,Blitz,-0.28693409983046037
Anthony Campanile,2.7786112714366507,986,1.6109492708020703,Blitz,-1.1676620006345804
Anthony Weaver,4.452517239570844,1920,4.785295334786415,Blitz,0.3327780952155708
Bill Belichick,1.8719726385028468,2050,2.497248814032639,Blitz,0.6252761755297922
Brandon Staley,1.3401979305608194,2855,1.7110297794576013,Blitz,0.3708318488967819
Brian Flores,12.50964174002928,3188,12.182427061010277,Blitz,-0.32721467901900425
Chris Shula,-2.19290533767914,2281,-1.7954711287271514,Blitz,0.39743420895198844
Clint Hurtt,-3.2540087184189783,2086,-3.436657990752654,Blitz,-0.18264927233367567
Dan Quinn,-0.4388551986040478,2643,-0.2790071561779593,Blitz,0.15984804242608852
DeMarcus Covington,2.587835594872026,1066,3.2845156883895914,Blitz,0.6966800935175654
DeMeco Ryans,-2.934668196749134,3447,-2.5376966622708275,Blitz,0.3969715344783067
Dean Pees,0.863931010204952,941,1.2520768027353941,Blitz,0.3881457925304421
Dennard Wilson,-1.2198140176081664,2007,-0.897360627917978,Blitz,0.32245338969018844
Dennis Allen,-2.647921737003058,3617,-3.168750905995101,Blitz,-0.520829168992043
Don Martindale,8.743070548938766,2238,9.125967618270122,Blitz,0.3828970693313565
Ed Donatell,-2.2489275462115277,1181,-2.2232112567282845,Blitz,0.025716289483243226
Ejiro Evero,0.1918482478973854,3996,0.45133143113533924,Blitz,0.25948318323795383
Gus Bradley,-6.624295285824056,3253,-6.335681250121542,Blitz,0.28861403570251376
Jack Del Rio,-1.6009018676386841,1633,-1.5710507194238337,Blitz,0.029851148214850465
Jeff Hafley,-3.613134238509274,2238,-3.738118861477836,Blitz,-0.12498462296856161
Jeff Ulbrich,-2.770056860163151,4166,-2.5754050833465123,Blitz,0.19465177681663848
Jesse Minter,-2.2047244880512595,1975,-2.825480463742569,Blitz,-0.6207559756913095
Jim Schwartz,-0.9542017074438927,2871,-0.7408982068053144,Blitz,0.21330350063857828
Jimmy Lake,-0.3604818716168884,998,-0.922268747403468,Blitz,-0.5617868757865796
Joe Barry,-2.0474441635756935,2140,-2.215780159982279,Blitz,-0.1683359964065856
Joe Whitt Jr.,2.401479538343028,1751,1.8218594136963604,Blitz,-0.5796201246466677
Joe Woods,-2.771565621989386,1455,-2.534672192877784,Blitz,0.23689342911160205
Jonathan Gannon,-4.955056919216035,1214,-4.983419418586978,Blitz,-0.02836249937094326
Josh Boyer,5.3411495409985275,1142,5.268598473137462,Blitz,-0.07255106786106502
Kelvin Sheppard,1.9604169698770184,1035,1.3550614936897158,Blitz,-0.6053554761873026
Leslie Frazier,-2.6361364232146602,1134,-2.8061836173377155,Blitz,-0.17004719412305525
Lou Anarumo,-0.30534035614148225,3939,-0.4936558362506612,Blitz,-0.18831548010917892
Lovie Smith,-4.940983736488246,1122,-4.650474191080999,Blitz,0.2905095454072466
